char,sent_n,token_i,word
0,1,0,A
2,1,1,major
8,1,2,winter
15,1,3,storm
24,1,5,dropping
33,1,6,snow
39,1,8,ice
48,1,11,freezing
57,1,12,rain
73,1,15,Midwestern
84,1,16,United
91,1,17,States
101,2,20,Over
109,2,22,inches
119,2,25,cm
126,2,28,snow
134,2,30,expected
146,2,32,parts
155,2,34,Ohio
164,2,36,Indiana
173,3,38,Along
183,3,40,Ohio
188,3,41,River
195,3,43,freezing
204,3,44,rain
213,3,46,sleet
222,3,48,expected
239,3,51,driving
247,3,52,hazardous
262,4,55,precipitation
279,4,57,forecast
291,4,59,continue
312,4,62,evening
320,4,63,Tuesday
337,4,66,early
343,4,67,Wednesday
353,4,68,morning
369,4,71,moving
392,4,75,East
397,4,76,Coast
405,5,79,Blizzard
414,5,80,warnings
433,5,83,issued
452,5,87,Northwest
462,5,88,Ohio
471,5,90,Northern
480,5,91,Indiana
499,5,95,cold
504,5,96,temperatures
518,5,98,considerable
531,5,99,snowfall
545,5,102,blowing
557,5,104,drifting
566,5,105,snow
573,6,108,Many
578,6,109,flights
596,6,112,canceled
608,6,114,delayed
619,6,116,Port
624,6,117,Columbus
633,6,118,International
647,6,119,Airport
656,6,121,especially
673,6,123,destined
692,6,126,cities
706,6,129,midwest
717,7,132,Schools
735,7,135,canceled
754,7,139,businesses
769,7,141,sending
777,7,142,employees
787,7,143,home
792,7,144,early
803,8,147,Ohio
808,8,148,State
814,8,149,University
826,8,151,University
840,8,153,Cincinnati
866,8,157,colleges
875,8,158,decided
886,8,160,cancel
893,8,161,classes
902,8,163,sending
910,8,164,home
919,8,166,non
923,8,168,essential
933,8,169,staff
