char,sent_n,token_i,word
0,1,0,Many
5,1,1,infertile
15,1,2,American
24,1,3,women
36,1,5,choose
47,1,7,sex
65,1,11,child
74,1,13,given
84,1,15,option
93,2,18,A
95,2,19,survey
109,2,22,women
121,2,24,treated
133,2,26,infertility
149,2,28,found
170,2,33,use
174,2,34,sex
178,2,35,selection
199,2,39,offered
213,2,42,cost
221,3,45,Contradicting
235,3,46,fears
251,3,49,sex
255,3,50,selection
271,3,52,cause
277,3,53,gender
284,3,54,imbalance
299,3,57,survey
306,3,58,found
317,3,60,women
331,3,63,children
346,3,65,choose
353,3,66,baby
358,3,67,girls
368,3,69,boys
376,3,71,approximately
390,3,72,equal
396,3,73,numbers
406,4,76,Furthermore
419,4,78,women
435,4,81,daughters
445,4,82,wanted
455,4,84,select
464,4,86,male
469,4,87,child
481,4,89,women
497,4,92,sons
502,4,93,wanted
512,4,95,select
521,4,97,female
528,4,98,child
537,5,102,Sex
541,5,103,selection
556,5,106,topic
576,5,110,taboo
586,5,112,physicians
600,5,114,talk
613,5,118,says
618,5,119,study
624,5,120,lead
629,5,121,author
636,5,122,Tarun
642,5,123,Jain
654,5,126,University
668,5,128,Illinois
680,5,130,Chicago
690,6,133,Prior
704,6,136,study
729,6,142,data
737,6,144,indicate
755,6,147,demand
774,6,153,Of
781,6,155,survey
788,6,156,respondents
811,6,160,want
819,6,162,select
830,6,164,sex
843,6,167,future
850,6,168,child
859,7,171,Among
883,7,178,children
904,7,183,children
929,7,188,sex
936,8,191,Half
947,8,193,choose
957,8,195,select
968,8,197,sex
986,8,201,child
1012,8,207,bear
1021,8,209,cost
1029,9,212,About
1045,9,216,choose
1052,9,217,sperm
1058,9,218,separation
1080,9,223,choose
1087,9,224,preimplantation
1103,9,225,genetic
1111,9,226,diagnosis
1134,9,231,choose
1151,10,235,Sex
1155,10,236,selection
1168,10,238,controversial
1187,11,241,American
1196,11,242,College
1207,11,244,Obstetricians
1225,11,246,Gynecologists
1239,11,247,opposes
1254,11,250,nonmedical
1265,11,251,reasons
1289,11,256,International
1303,11,257,Federation
1317,11,259,Gynecology
1332,11,261,Obstetrics
1350,12,265,American
1359,12,266,Society
1370,12,268,Reproductive
1383,12,269,Medicine
1392,12,270,supports
1408,12,273,nonmedical
1419,12,274,reasons
1431,12,276,family
1438,12,277,gender
1445,12,278,balancing
1455,12,279,provided
1464,12,280,methods
1481,12,283,safe
1490,12,285,effective
1504,13,289,As
1511,13,291,techniques
1522,13,292,gain
1532,13,294,popularity
1544,13,296,physicians
1568,13,300,decide
1588,13,304,offer
1598,13,306,procedure
1611,13,308,patients
1637,13,312,children
1648,13,315,says
1653,13,316,Jain
1664,14,320,research
1676,14,322,reported
1692,14,325,journal
1700,14,326,Fertility
1714,14,328,Sterility
