char,sent_n,token_i,word
4,1,1,US
7,1,2,state
16,1,4,Massachusetts
33,1,6,turning
43,1,8,portion
54,1,10,Camp
59,1,11,Edwards
71,1,14,active
78,1,15,Cape
83,1,16,Cod
87,1,17,military
96,1,18,base
110,1,23,village
129,1,27,evacuees
141,1,29,Hurricane
151,1,30,Katrina
171,1,35,Operation
181,1,36,Helping
189,1,37,Hand
200,2,41,temporary
210,2,42,shelter
225,2,45,Massachusetts
239,2,46,Military
248,2,47,Reservation
272,2,51,population
287,2,53,size
295,2,55,Truro
302,2,57,Massachusetts
325,2,60,include
336,2,62,active
343,2,63,mayor
355,2,66,system
365,2,68,government
389,2,72,like
396,2,74,town
401,2,75,council
411,3,77,However
424,3,80,shelter
437,3,82,face
442,3,83,security
451,3,84,demands
459,3,85,different
486,3,89,Cape
491,3,90,towns
505,3,92,Cape
510,3,93,Edwards
524,3,96,active
531,3,97,base
545,3,100,training
554,3,101,exercises
565,4,103,Security
582,4,106,overseen
598,4,109,Massachusetts
612,4,110,National
621,4,111,Guard
633,4,114,help
647,4,117,Massachusetts
661,4,118,State
667,4,119,Police
682,4,122,County
689,4,123,Sheriff
699,4,125,office
707,5,127,Massachusetts
721,5,128,Governor
730,5,129,Mitt
735,5,130,Romney
742,5,131,stressed
759,5,134,wanted
779,5,139,comfortable
792,5,141,non
796,5,143,hostile
804,5,144,atmosphere
817,6,147,Upon
822,6,148,touching
839,6,151,Otis
844,6,152,Air
848,6,153,National
857,6,154,Guard
863,6,155,Base
869,6,157,Massport
878,6,158,officials
893,6,160,issue
899,6,161,identification
914,6,162,cards
921,6,164,create
928,6,165,case
933,6,166,files
952,6,170,ask
960,6,172,evacuees
972,6,174,provide
980,6,175,personal
989,6,176,information
1025,6,183,database
1040,6,186,shared
1058,6,189,states
1074,6,192,taking
1081,6,193,evacuees
1096,7,197,agencies
1121,7,202,hand
1135,7,206,Massachusetts
1149,7,207,Emergency
1159,7,208,Management
1170,7,209,Agency
1182,7,212,American
1191,7,213,Red
1195,7,214,Cross
1209,7,217,Salvation
1219,7,218,Army
1231,8,221,agencies
1245,8,223,coordinate
1256,8,224,volunteers
1277,8,228,commit
1303,8,232,days
1311,8,234,volunteer
1321,8,235,efforts
1347,8,241,able
1355,8,243,transport
1383,8,247,camp
1389,9,249,Romney
1400,9,251,asked
1410,9,253,donations
1429,9,256,community
1442,10,259,Evacuees
1459,10,262,assigned
1468,10,263,housing
1479,10,265,groups
1487,11,267,There
1502,11,270,barracks
1515,11,272,single
1522,11,273,men
1539,11,277,single
1546,11,278,women
1562,11,282,space
1572,11,284,elderly
1584,11,286,families
1598,11,288,children
1608,12,290,Visitors
1629,12,294,allowed
1643,13,298,school
1650,13,299,superintendent
1673,13,302,township
1685,13,304,Bourne
1693,13,306,Ed
1696,13,307,LaFleur
1710,13,310,work
1718,13,312,enrolling
1732,13,314,children
1744,13,316,evacuees
1758,13,318,Cape
1763,13,319,Cod
1767,13,320,schools
1776,14,322,Romney
1783,14,323,met
1787,14,324,yesterday
1802,14,326,leaders
1817,14,329,Blake
1823,14,330,Churches
1832,14,331,Alliance
1855,14,335,available
1865,14,336,chaplains
1879,14,338,counselors
1898,14,341,evacuees
1909,15,344,Romney
1916,15,345,spent
1922,15,346,Monday
1929,15,347,night
1935,15,348,asking
1950,15,351,State
1956,15,352,House
1965,15,354,pass
1976,15,358,million
1984,15,359,emergency
1994,15,360,spending
2003,15,361,bill
2011,15,363,pay
2019,15,365,initial
2027,15,366,costs
2040,15,369,facility
2055,16,373,arrival
2063,16,374,time
2075,16,377,evacuees
2093,16,380,postponed
2108,16,383,unknown
2116,16,384,reasons
