char,sent_n,token_i,word
4,1,1,official
13,1,2,results
33,1,6,Ontario
41,1,7,General
49,1,8,Election
76,1,13,Ontario
84,1,14,Liberal
92,1,15,Party
110,1,20,elected
123,2,23,Liberal
131,2,24,Party
137,2,25,lead
145,2,27,Dalton
152,2,28,McGuinty
166,2,30,spend
186,2,34,years
197,2,37,majority
206,2,38,government
219,3,41,McGuinty
241,3,45,Liberal
249,3,46,premier
278,3,54,majorities
295,3,56,Mitchell
304,3,57,Hepburn
317,3,60,held
322,3,61,office
354,3,69,second
361,3,70,majority
370,3,71,starting
388,4,75,Hepburn
398,4,77,government
409,4,78,legacy
416,4,79,includes
429,4,81,Queen
435,4,82,Elizabeth
445,4,83,Way
453,4,85,Rainbow
461,4,86,Bridge
471,4,88,Niagara
479,4,89,Falls
486,4,91,New
490,4,92,York
