char,sent_n,token_i,word
0,1,0,Many
5,1,1,media
11,1,2,outlets
19,1,3,traditionally
33,1,4,deliberately
46,1,5,spread
53,1,6,hoaxes
63,1,8,April
69,1,9,Fools
76,1,11,Day
81,1,13,including
91,1,14,notable
99,1,15,quality
107,1,16,sources
123,1,19,National
132,1,20,Geographic
147,1,22,Science
162,2,26,popular
170,2,27,British
178,2,28,tabloid
190,3,30,Sun
194,3,31,wrote
205,3,33,French
212,3,34,President
222,3,35,Nicolas
230,3,36,Sarkozy
244,3,39,undergo
252,3,40,stretch
260,3,41,surgery
280,3,45,taller
296,3,48,wife
302,3,50,Italian
310,3,51,artist
321,3,53,model
327,3,54,Carla
333,3,55,Bruni
344,4,58,report
351,4,59,claimed
365,4,62,foot
372,4,64,inch
377,4,65,leader
400,4,70,inches
407,4,71,taller
421,4,74,year
434,4,77,method
444,4,79,Israeli
452,4,80,professor
462,4,81,Ura
466,4,82,Schmuck
479,5,85,Sun
483,5,86,noted
505,5,90,visit
514,5,92,Britain
527,5,94,week
533,5,96,Sarkozy
545,5,98,high
550,5,100,heel
555,5,101,shoes
571,5,104,wife
576,5,105,wore
583,5,107,pair
591,5,109,flat
596,5,110,pumps
608,6,114,Guardian
630,6,118,hand
635,6,119,ran
642,6,121,article
655,6,123,suggested
670,6,125,Carla
682,6,127,head
690,6,129,initiative
704,6,131,Prime
710,6,132,Minister
719,6,133,Gordon
726,6,134,Brown
735,6,136,bring
746,6,138,glamour
755,6,140,good
760,6,141,taste
770,6,143,sophistication
797,6,147,general
805,6,148,population
817,7,150,This
828,7,152,involve
836,7,153,collaboration
855,7,155,Marks
862,7,157,amp
867,7,159,Spencer
879,7,161,high
884,7,163,street
891,7,164,fashion
903,7,166,Jamie
909,7,167,Oliver
920,7,169,meals
930,7,171,wine
937,8,174,BBC
941,8,175,News
950,8,177,real
955,8,179,looking
963,8,180,footage
974,8,182,flying
981,8,183,penguins
990,8,184,fronted
1001,8,186,documentary
1013,8,187,host
1018,8,188,Terry
1024,8,189,Jones
1042,8,193,actually
1054,8,195,advertisement
1076,8,198,new
1080,8,199,iPlayer
