char,sent_n,token_i,word
0,1,0,A
2,1,1,memorial
11,1,2,service
23,1,4,held
28,1,5,Thursday
41,1,7,Adrienne
50,1,8,Nicole
57,1,9,Martin
69,1,12,model
75,1,13,found
81,1,14,dead
90,1,16,weeks
96,1,17,ago
107,1,20,Missouri
117,1,22,US
120,1,23,mansion
138,1,26,Anheuser
147,1,28,Busch
153,1,29,CEO
157,1,30,August
164,1,31,Busch
170,1,32,IV
174,2,34,Martin
185,2,37,Native
192,2,38,American
201,2,39,ethnicity
219,2,43,years
225,2,44,old
238,2,47,died
246,2,49,unknown
254,2,50,causes
262,2,52,said
267,2,53,investigators
284,3,56,Martin
305,3,61,dating
324,3,65,old
328,3,66,Busch
356,3,72,months
364,3,74,according
377,3,76,friends
392,3,80,native
402,3,82,Springfield
415,4,84,She
423,4,86,previously
439,4,88,married
458,4,92,old
462,4,93,doctor
469,4,94,Kevin
478,4,96,Martin
491,4,98,February
516,4,103,divorced
534,4,107,joint
540,4,108,custody
563,4,113,year
568,4,115,old
572,4,116,son
577,5,118,Adrienne
586,5,119,Martin
599,5,122,profile
610,5,124,iStudio
621,5,127,modeling
630,5,128,website
649,5,132,said
658,5,134,wanted
678,5,138,art
682,5,139,therapist
693,6,141,She
702,6,143,expressed
714,6,145,desire
731,6,150,beer
736,6,151,advertising
753,6,154,work
765,6,157,modeling
774,6,158,industry
784,7,160,At
791,7,162,time
803,7,165,death
810,7,167,Martin
826,7,170,working
843,7,173,master
852,7,175,degree
862,7,177,art
866,7,178,therapy
880,8,182,memorial
889,8,183,service
901,8,185,Martin
912,8,187,held
920,8,189,South
926,8,190,Haven
932,8,191,Baptist
940,8,192,Church
950,8,194,Springfield
963,9,196,Busch
987,9,201,estimated
1001,9,203,people
1008,9,204,attending
1022,9,206,service
1042,9,211,mentioned
1072,10,217,speaker
1088,10,220,church
1097,10,222,pastor
1105,10,224,Scott
1111,10,225,Watson
1123,10,228,read
1128,10,229,letters
1141,10,231,Martin
1150,10,233,friends
1159,11,235,Her
1163,11,236,son
1177,11,239,relatives
1187,11,240,sat
1204,11,244,row
1222,11,248,remembered
1238,11,251,gifted
1245,11,252,artist
1256,11,254,dedicated
1266,11,255,mother
1274,12,257,Lacy
1279,12,258,Elet
1292,12,262,Martin
1301,12,264,friends
1310,12,266,later
1316,12,267,said
1321,12,268,Martin
1332,12,270,happy
1348,12,274,life
1357,12,276,finally
1368,12,278,order
1376,13,281,Her
1380,13,282,obituary
1396,13,285,Springfield
1408,13,286,News
1413,13,288,Leader
1420,13,289,called
1427,13,290,Busch
1438,13,293,love
1450,13,296,life
1457,14,299,However
1473,14,303,Martin
1482,14,305,uncles
1490,14,307,Andy
1495,14,308,Eby
1500,14,310,said
1515,14,313,service
1525,14,316,There
1544,14,320,questions
1569,14,324,answers
1580,15,328,Martin
1591,15,330,found
1597,15,331,unconscious
1612,15,333,Michael
1620,15,334,Jung
1630,15,337,worked
1640,15,339,Busch
1648,15,341,mansion
1671,15,346,local
1677,15,347,time
1689,15,350,UTC
1697,15,353,December
1710,16,356,At
1724,16,360,Jung
1729,16,361,called
1736,16,362,emergency
1746,16,363,services
1756,16,365,saying
1765,16,368,This
1770,16,369,girl
1786,16,373,waking
1798,17,377,When
1803,17,378,asked
1820,17,382,breathing
1831,17,384,Jung
1836,17,385,responded
1853,17,389,We
1862,17,392,know
1868,18,394,It
1873,18,396,dark
1890,19,400,I
1894,19,402,gon
1897,19,403,na
1906,19,406,light
1916,19,408,try
1930,20,413,At
1944,20,417,Martin
1955,20,419,pronounced
1966,20,420,dead
1978,20,423,scene
1987,20,425,emergency
1997,20,426,workers
2006,21,428,Law
2010,21,429,enforcement
2022,21,430,officials
2032,21,431,said
2041,21,433,room
2050,21,435,dark
2074,21,439,blackout
2084,21,441,curtains
2093,21,442,drawn
2106,21,445,bedroom
2117,22,449,An
2120,22,450,autopsy
2131,22,452,Martin
2140,22,454,body
2153,22,457,find
2162,22,459,trauma
2169,22,461,related
2177,22,462,injuries
2195,22,466,official
2204,22,467,cause
2213,22,469,death
2232,22,473,established
2247,22,475,investigators
2262,23,477,A
2264,23,478,toxicology
2275,23,479,report
2283,23,481,expected
2308,23,485,weeks
2320,23,488,likely
2338,23,492,determine
2352,23,494,reason
2359,23,495,Martin
2366,23,496,died
2372,24,498,Police
2379,24,499,said
2384,24,500,Martin
2393,24,502,body
2406,24,505,exhibit
2419,24,508,apparent
2428,24,509,signs
2437,24,511,trauma
2453,24,514,indications
2468,24,516,cause
2477,24,518,death
2485,25,521,According
2502,25,524,ex
2505,25,526,husband
