char,sent_n,token_i,word
0,1,0,Internet
9,1,1,rivals
16,1,2,Microsoft
30,1,4,Yahoo
41,1,6,agreed
62,1,10,instant
70,1,11,messaging
80,1,12,programs
90,1,14,Yahoo
96,1,15,Messenger
110,1,17,MSN
114,1,18,Messenger
125,1,20,work
140,2,23,Instant
148,2,24,messaging
162,2,27,IM
171,2,30,commonly
180,2,31,known
202,2,36,increasingly
215,2,37,popular
223,2,38,communication
237,2,39,service
246,2,41,mainly
268,2,45,speed
277,2,47,communication
304,2,50,equals
311,2,51,regular
319,2,52,conversation
334,3,55,This
345,3,58,announced
358,3,60,Wednesday
375,3,63,mainly
382,3,64,focus
391,3,66,earlier
399,3,67,forms
408,3,69,instant
416,3,70,messaging
427,3,72,like
432,3,73,sending
440,3,74,text
445,3,75,messages
463,3,78,people
478,3,81,Internet
488,4,83,This
493,4,84,arrangement
508,4,86,expected
520,4,88,start
533,4,90,June
549,5,95,agreement
564,5,97,allow
574,5,99,companies
587,5,101,compete
607,5,104,popular
615,5,105,AOL
619,5,106,Instant
627,5,107,Messenger
637,5,108,service
646,5,110,AOL
656,5,114,Google
663,5,115,Talk
669,5,117,Google
678,5,119,relatively
689,5,120,new
693,5,121,instant
701,5,122,messaging
711,5,123,service
728,5,126,opened
742,5,129,public
752,5,131,beta
757,5,132,form
765,5,134,September
780,6,137,companies
790,6,138,said
805,6,141,relationship
825,6,144,fruit
839,6,147,years
848,6,149,negotiation
862,7,152,Until
873,7,155,AOL
886,7,158,able
903,7,162,develop
915,7,164,IM
918,7,165,market
936,7,169,pace
953,7,174,widespread
964,7,175,use
979,7,178,United
986,7,179,States
994,8,181,With
1004,8,183,arrangement
1019,8,185,place
1031,8,188,freedom
1045,8,190,end
1054,9,193,number
1064,9,195,users
1077,9,198,Yahoo
1088,9,201,Microsoft
1098,9,202,services
1107,9,203,combined
1121,9,205,rival
1131,9,207,number
1141,9,209,AOL
1147,9,211,customers
1159,10,214,Microsoft
1173,10,216,previously
1184,10,217,held
1189,10,218,talks
1200,10,220,AOL
1209,10,222,possible
1218,10,223,partnerships
1238,10,226,instant
1246,10,227,messaging
1256,10,228,field
1263,11,230,However
1276,11,233,status
1292,11,236,negotiations
1308,11,238,unknown
