char,sent_n,token_i,word
0,1,0,Former
7,1,1,Massachusetts
21,1,2,governor
30,1,3,Mitt
35,1,4,Romney
42,1,5,won
63,1,13,US
66,1,14,New
70,1,15,Hampshire
80,1,16,Republican
91,1,17,primary
102,1,19,Tuesday
122,1,22,votes
137,2,28,This
142,2,29,follows
154,2,31,narrow
161,2,32,victory
176,2,35,Iowa
181,2,36,Caucus
193,2,38,week
199,3,40,Congressman
211,3,41,Ron
215,3,42,Paul
225,3,45,finished
247,3,49,Iowa
252,3,50,Caucus
260,3,52,came
268,3,54,second
287,3,57,votes
302,4,63,Former
309,4,64,Utah
314,4,65,governor
323,4,66,Jon
327,4,67,Huntsman
346,4,72,spent
354,4,74,great
370,4,77,resources
387,4,80,primary
396,4,82,came
410,4,85,place
428,4,88,votes
448,5,96,New
452,5,97,Hampshire
462,5,98,primary
481,5,102,primary
496,5,105,election
513,5,109,second
525,5,112,series
535,5,114,state
541,5,115,elections
556,5,117,help
564,5,119,assign
571,5,120,delegates
584,5,122,candidates
598,5,124,determine
612,5,126,presidential
625,5,127,nominee
640,5,130,Republican
651,5,131,Party
658,6,133,Delegates
680,6,137,assigned
694,6,139,members
709,6,142,Republican
720,6,143,National
729,6,144,Committee
757,6,149,unpledged
771,6,151,subject
782,6,153,change
790,7,155,To
793,7,156,win
801,7,158,nomination
815,7,161,candidate
830,7,163,accumulate
847,7,165,delegates
860,8,168,With
869,8,170,victory
878,8,172,Romney
885,8,173,claimed
893,8,174,seven
899,8,175,delegates
912,8,177,increase
925,8,179,total
942,8,183,unpledged
952,8,184,delegates
962,8,185,included
972,9,187,Paul
977,9,188,won
987,9,190,delegates
1005,9,193,finish
1015,9,195,total
1025,9,197,delegates
1036,9,199,placing
1048,9,201,second
1055,9,202,overall
1066,9,204,Romney
1074,10,206,Despite
1092,10,209,place
1098,10,210,finish
1106,10,212,Huntsman
1118,10,214,currently
1128,10,215,sixth
1134,10,216,overall
1145,10,218,delegates
1176,10,224,won
1183,10,226,New
1187,10,227,Hampshire
1198,11,229,He
1201,11,230,currently
1211,11,231,trails
1225,11,233,Senator
1233,11,234,Rick
1238,11,235,Santorum
1255,11,238,compiled
1270,11,240,delegates
1280,11,241,overall
1289,11,243,followed
1301,11,245,Texas
1307,11,246,governor
1316,11,247,Rick
1321,11,248,Perry
1349,11,254,House
1355,11,255,Speaker
1363,11,256,Newt
1368,11,257,Gingrich
1390,12,262,In
1397,12,264,victory
1405,12,265,speech
1413,12,267,Romney
1420,12,268,criticized
1431,12,269,President
1441,12,270,Barack
1448,12,271,Obama
1455,12,273,saying
1466,12,276,wants
1475,12,278,turn
1480,12,279,America
1495,12,282,European
1504,12,284,style
1510,12,285,entitlement
1522,12,286,society
1532,12,289,countering
1559,12,293,wants
1569,12,296,ensure
1584,12,299,remain
1593,12,301,free
1602,12,303,prosperous
1613,12,304,land
1621,12,306,opportunity
1635,13,309,Romney
1642,13,310,received
1658,13,313,following
1672,13,315,results
1685,13,317,Paul
1695,13,320,offered
1707,13,322,congratulations
1724,14,324,Paul
1729,14,325,mentioned
1756,14,329,He
1759,14,330,certainly
1775,14,333,clear
1781,14,335,cut
1785,14,336,victory
1794,15,338,But
1804,15,341,nibbling
1820,15,344,heels
1828,16,347,Paul
1836,16,350,libertarian
1849,16,352,added
1857,16,355,I
1867,16,358,chuckle
1885,16,361,describe
1906,16,365,dangerous
1917,17,367,That
1928,17,370,thing
1943,17,373,telling
1955,17,375,truth
1970,18,380,Because
1985,18,383,dangerous
2002,18,386,status
2009,18,387,quo
2021,18,390,country
2033,19,394,Though
2045,19,396,Huntsman
2054,19,397,supporters
2070,19,399,disappointed
2094,19,402,candidate
2112,19,405,place
2118,19,406,finish
2126,19,408,Huntsman
2135,19,409,stated
2147,19,412,confidence
2165,19,415,system
2175,19,417,reborn
2197,19,421,people
2207,19,423,New
2211,19,424,Hampshire
2223,20,427,He
2226,20,428,announced
2245,20,431,remain
2259,20,434,race
2268,20,436,head
2276,20,438,South
2282,20,439,Carolina
2300,20,442,state
2308,20,444,primary
2319,20,446,January
2332,21,450,Gingrich
2341,21,451,finished
2353,21,453,fifth
2359,21,454,place
2377,21,457,votes
2390,21,462,slightly
2406,21,464,Santorum
2419,21,466,won
2430,21,468,votes
2443,21,473,despite
2455,21,475,surge
2470,21,478,strong
2477,21,479,showing
2492,21,482,Iowa
2497,21,483,Caucus
2505,22,485,Perry
2524,22,490,focus
2533,22,492,New
2537,22,493,Hampshire
2557,22,496,Iowa
2562,22,497,Caucus
2570,22,499,finished
2590,22,502,votes
2609,23,510,campaigns
2623,23,512,head
2631,23,514,South
2637,23,515,Carolina
2661,23,520,major
2667,23,521,candidates
2691,23,525,race
2701,23,527,compete
2714,24,530,latest
2721,24,531,We
2724,24,532,Ask
2728,24,533,America
2736,24,534,poll
2746,24,536,South
2752,24,537,Carolina
2761,24,538,shows
2767,24,539,Romney
2782,24,542,percent
2791,24,544,ahead
2800,24,546,Gingrich
2817,24,549,percent
2829,24,551,Santorum
2846,24,554,percent
