char,sent_n,token_i,word
19,1,3,website
32,1,5,allows
39,1,6,users
48,1,8,display
56,1,9,links
65,1,11,movies
81,1,15,watch
91,1,17,free
96,1,18,online
108,1,21,leaked
119,1,23,Assassination
136,1,25,Jesse
142,1,26,James
152,1,29,upcoming
161,1,30,movie
173,1,33,released
185,1,35,theaters
197,1,37,October
213,2,41,movie
226,2,44,seen
238,2,47,parts
258,2,52,link
269,2,55,online
276,2,56,video
282,2,57,hosting
290,2,58,website
298,2,59,called
305,2,60,Veoh
311,2,62,similar
322,2,64,YouTube
331,3,66,Both
336,3,67,websites
345,3,68,run
352,3,70,videos
359,3,71,uploaded
377,3,74,users
395,3,79,condone
407,3,81,uploading
420,3,83,copyrighted
432,3,84,material
447,4,88,movie
457,4,90,recorded
477,4,93,attending
492,4,95,appears
508,4,99,special
516,4,100,screening
533,4,103,film
549,4,107,downloaded
560,4,108,free
568,4,110,charge
583,4,113,days
599,4,116,release
612,4,118,theaters
624,5,121,Directed
636,5,123,Andrew
643,5,124,Dominik
656,5,127,movie
674,5,131,outlaw
681,5,132,named
687,5,133,Robert
694,5,134,Ford
702,5,137,man
710,5,139,decided
721,5,141,join
730,5,143,James
736,5,145,Younger
744,5,146,Gang
763,5,150,gang
771,5,152,Jesse
777,5,153,James
787,5,156,American
796,5,157,outlaw
822,6,164,movie
831,6,166,based
844,6,169,novel
868,6,175,written
883,6,178,novelist
892,6,179,Ron
896,6,180,Hansen
905,7,183,Brad
910,7,184,Pitt
915,7,185,stars
924,7,187,James
935,7,190,Casey
941,7,191,Affleck
949,7,192,co
952,7,194,stars
961,7,196,Ford
