char,sent_n,token_i,word
0,1,0,Nearing
16,1,3,year
21,1,4,anniversary
40,1,7,publication
62,1,10,controversial
76,1,11,editorial
86,1,12,cartoons
95,1,13,depicting
105,1,14,Muhammad
119,1,17,Danish
126,1,18,newspaper
139,1,21,leading
147,1,22,authority
160,1,24,Sunni
166,1,25,Islam
176,1,27,demanded
194,1,30,newspaper
207,1,32,shut
219,2,36,In
225,2,38,interview
244,2,41,Danish
251,2,42,newspaper
261,2,43,Berlingske
272,2,44,Tidende
281,2,46,Sheikh
288,2,47,Mohammed
297,2,48,Sayyed
304,2,49,Tantawi
313,2,51,Grand
319,2,52,Iman
331,2,55,Al
334,2,57,Azhar
340,2,58,University
354,2,60,Cairo
373,2,63,Grand
379,2,64,Mufti
392,2,67,Republic
402,2,69,demanded
415,2,71,closure
426,2,73,Jyllands
435,2,74,Posten
447,2,77,paper
453,2,78,responsible
469,2,80,publishing
484,2,82,cartoons
494,3,84,He
497,3,85,went
517,3,90,chief
523,3,91,editor
530,3,92,Carsten
538,3,93,Juste
550,3,96,jailed
567,3,99,years
586,3,104,editor
600,3,107,paper
608,3,109,cartoon
616,3,110,section
625,3,112,Flemming
634,3,113,Rose
643,3,116,depicted
657,3,119,pig
664,4,123,It
670,4,125,thought
678,4,126,provoking
690,4,129,Rose
695,4,130,said
711,4,136,Tantawi
720,4,138,believes
743,4,143,punishment
767,4,148,depicted
781,4,151,pig
786,5,153,It
789,5,154,confirms
807,5,157,imam
818,5,160,shocking
827,5,161,lack
835,5,163,knowledge
855,5,166,civilisation
876,5,170,confirms
889,5,172,need
898,5,174,dialogue
909,6,177,Rose
914,6,178,added
928,6,181,shows
938,6,183,blasphemy
948,6,184,law
959,6,187,Arab
964,6,188,world
981,6,192,suppress
1001,6,195,views
1007,6,196,different
1031,6,200,power
1039,7,203,Tantawi
1047,7,204,called
1058,7,206,drawings
1092,7,213,crimes
1104,7,215,committed
