char,sent_n,token_i,word
0,1,0,After
17,1,3,months
27,1,5,delay
34,1,7,NASA
43,1,9,set
47,1,10,March
63,1,14,launch
70,1,15,date
79,1,17,Space
85,1,18,Shuttle
93,1,19,Discovery
104,2,21,On
107,2,22,February
120,2,25,NASA
129,2,27,stated
146,2,30,indefinitely
159,2,31,delayed
171,2,33,launch
181,2,35,Space
187,2,36,Shuttle
195,2,37,Discovery
216,2,41,originally
227,2,42,scheduled
241,2,44,takeoff
252,2,46,February
265,3,49,Launch
289,3,53,delayed
303,3,55,February
328,3,59,delayed
336,3,60,indefinitely
352,3,62,February
365,4,65,NASA
370,4,66,cited
380,4,68,need
389,4,70,additional
400,4,71,time
408,4,73,evaluate
421,4,75,shuttle
431,4,77,hydrogen
440,4,78,fuel
445,4,79,flow
450,4,80,control
458,4,81,valves
467,5,84,Liftoff
478,5,86,set
486,5,88,nighttime
499,5,90,Wednesday
510,5,92,March
523,5,96,approximately
548,5,100,EST
558,5,103,Launch
565,5,104,Complex
580,5,107,Cape
585,5,108,Canaveral
596,5,110,Florida
609,6,113,official
618,6,114,countdown
631,6,116,launch
643,6,118,commence
652,6,119,Sunday
660,6,121,March
675,7,127,team
680,7,128,came
694,7,131,worked
701,7,132,hard
714,7,135,efficient
725,8,137,It
730,8,139,time
742,8,142,step
756,8,145,think
784,8,150,need
792,8,152,watch
805,8,154,launch
825,9,159,There
836,9,162,better
843,9,163,team
866,10,168,I
868,10,169,thank
883,10,172,putting
895,10,174,right
901,10,175,analysis
921,10,179,said
926,10,180,Bill
931,10,181,Gerstenmaier
945,10,183,associate
955,10,184,administrator
973,10,186,Space
979,10,187,Operations
993,10,189,NASA
1000,11,192,NASA
1005,11,193,wanted
1015,11,195,perform
1023,11,196,additional
1034,11,197,tests
1047,11,200,valves
1060,11,202,control
1082,11,206,hydrogen
1091,11,207,fuel
1096,11,208,pumped
1112,11,211,external
1121,11,212,tank
1135,11,215,shuttle
1146,11,217,taking
1164,11,220,making
1173,11,222,decision
1185,11,224,launch
1193,12,226,When
1198,12,227,Space
1204,12,228,Shuttle
1212,12,229,Endeavour
1222,12,230,went
1232,12,232,space
1241,12,234,November
1267,12,240,valves
1274,12,241,broke
1281,13,243,NASA
1286,13,244,fears
1304,13,248,breaks
1323,13,252,mission
1346,13,257,damage
1357,13,259,outside
1372,13,262,shuttle
1386,14,266,current
1394,14,267,scheduled
1404,14,268,mission
1425,14,273,set
1432,14,275,fly
1440,14,277,Integrated
1451,14,278,Truss
1457,14,279,Structure
1467,14,280,segment
1477,14,283,S
1484,14,286,starboard
1499,14,289,right
1517,14,293,station
1542,14,301,place
1560,14,305,end
1571,14,308,starboard
1581,14,309,truss
1592,14,312,install
1604,14,314,final
1610,14,315,set
1617,14,317,power
1623,14,319,generating
1634,14,320,solar
1640,14,321,arrays
1654,14,324,International
1668,14,325,Space
1674,14,326,Station
1687,15,329,arrays
1694,15,330,consist
1718,15,335,long
1723,15,336,arrays
1737,15,340,total
1743,15,341,wing
1748,15,342,span
1760,15,345,feet
1766,15,347,including
1780,15,349,equipment
1795,15,351,connects
1812,15,354,halves
1823,15,356,allows
1838,15,359,twist
1852,15,362,track
1862,15,364,sun
1867,16,366,Altogether
1888,16,370,sets
1896,16,372,arrays
1907,16,374,generate
1926,16,378,kilowatts
1939,16,380,electricity
1965,16,385,provide
1973,16,386,power
1996,16,391,average
2004,16,392,homes
2012,17,395,Commander
2022,17,396,Lee
2026,17,397,Archambault
2043,17,399,lead
2048,17,400,Discovery
2060,17,402,crew
2068,17,404,seven
2086,17,408,Pilot
2092,17,409,Tony
2097,17,410,Antonelli
2112,17,413,Mission
2120,17,414,Specialists
2132,17,415,Joseph
2139,17,416,Acaba
2146,17,418,John
2151,17,419,Phillips
2161,17,421,Steve
2167,17,422,Swanson
2176,17,424,Richard
2184,17,425,Arnold
2196,17,428,Japan
2202,17,429,Aerospace
2212,17,430,Exploration
2224,17,431,Agency
2231,17,432,astronaut
2241,17,433,Koichi
2248,17,434,Wakata
