char,sent_n,token_i,word
0,1,0,Wood
5,1,1,Brothers
14,1,2,Racing
21,1,3,driver
28,1,4,Trevor
35,1,5,Bayne
46,1,8,qualified
56,1,9,thirty
63,1,11,second
71,1,13,won
79,1,15,NASCAR
86,1,16,Sprint
93,1,17,Cup
97,1,18,Series
109,1,20,Daytona
121,1,22,held
129,1,24,Sunday
139,1,26,Daytona
147,1,27,International
161,1,28,Speedway
173,1,30,Daytona
181,1,31,Beach
188,1,33,Florida
197,1,35,United
204,1,36,States
212,2,38,This
234,2,42,win
245,2,45,career
270,2,51,Daytona
278,2,52,International
292,2,53,Speedway
302,3,55,Throughout
317,3,57,course
331,3,60,race
350,3,64,cautions
366,3,67,lead
371,3,68,changes
388,3,71,different
398,3,72,drivers
408,4,75,Bayne
427,4,79,start
440,4,82,series
458,4,85,race
471,4,89,winning
494,4,94,youngest
503,4,95,winner
517,4,98,Daytona
532,4,101,history
543,4,103,age
555,5,107,win
564,5,109,gave
569,5,110,Wood
574,5,111,Brothers
583,5,112,Racing
596,5,114,second
603,5,115,Daytona
615,5,117,win
654,5,126,Daytona
667,6,129,Following
677,6,130,Bayne
684,6,132,Carl
689,6,133,Edwards
697,6,134,finished
713,6,137,second
720,6,138,position
730,6,140,ahead
739,6,142,David
745,6,143,Gilliland
756,6,145,Bobby
762,6,146,Labonte
775,6,149,Kurt
780,6,150,Busch
787,7,152,Juan
792,7,153,Pablo
798,7,154,Montoya
806,7,155,followed
815,7,156,Busch
824,7,158,sixth
837,7,161,Regan
843,7,162,Smith
860,7,165,manage
867,7,166,seventh
877,8,169,Kyle
882,8,170,Busch
889,8,172,Paul
894,8,173,Menard
906,8,176,Mark
911,8,177,Martin
918,8,178,rounded
942,8,183,finishers
959,8,186,race
965,9,188,Ryan
970,9,189,Newman
977,9,190,led
990,9,193,laps
1006,9,196,race
1024,9,201,finished
1039,10,204,Following
1053,10,206,race
1059,10,208,Bayne
1065,10,209,described
1079,10,211,enjoyment
1092,10,213,winning
1104,10,215,race
1111,10,218,I
1118,10,220,thinking
1127,10,221,I
1131,10,223,dreaming
1141,11,225,Our
1166,12,231,kidding
1178,13,234,To
1181,13,235,win
1206,13,241,second
1218,13,244,Cup
1222,13,245,race
1228,13,247,I
1230,13,248,mean
1248,13,252,incredible
1260,14,254,Wow
1273,14,258,unbelievable
1287,15,260,How
1291,15,261,cool
1313,15,267,Wood
1318,15,268,Brothers
1335,15,271,Victory
1343,15,272,Lane
1349,16,274,It
1354,16,276,crazy
1376,16,281,win
1389,16,284,Nationwide
1400,16,285,win
1407,17,287,I
1416,17,290,know
1435,17,295,Victory
1443,17,296,Lane
1451,18,300,Afterward
1462,18,302,second
1469,18,303,placed
1476,18,304,Edwards
1484,18,305,said
1491,18,308,Look
1497,18,310,right
1515,18,314,going
1529,18,318,long
1534,18,319,night
1548,19,323,I
1552,19,325,going
1576,19,331,motor
1582,19,332,home
1588,19,334,I
1592,19,336,going
1601,19,338,watch
1611,19,340,replay
1619,19,342,think
1641,19,346,things
1648,19,347,I
1667,19,352,think
1681,19,356,Man
1710,19,363,like
1719,19,366,win
1728,19,369,race
1735,20,372,Following
1749,20,374,race
1755,20,376,Edwards
1771,20,379,Drivers
1780,20,381,Championship
1793,20,382,leader
1808,20,385,points
1816,21,387,Next
1822,21,389,Gilliland
1836,21,391,Labonte
1848,21,393,tied
1857,21,395,second
1874,21,399,point
1887,21,401,Edwards
1896,22,403,Kurt
1901,22,404,Busch
1911,22,406,placed
1918,22,407,fourth
1933,22,410,points
1941,22,412,ahead
1950,22,414,Montoya
1962,22,416,Smith
1971,22,418,fifth
1981,22,420,sixth
1988,23,422,Kyle
1993,23,423,Busch
2000,23,425,Menard
2008,23,427,Martin
2026,23,432,Allmendinger
2039,23,433,rounded
2063,23,439,point
2069,23,440,positions
2090,24,445,season
2102,24,447,continue
2114,24,449,February
2135,24,454,Phoenix
2143,24,455,International
2157,24,456,Raceway
2178,24,460,Subway
2185,24,461,Fresh
2191,24,462,Fit
2204,25,466,race
2217,25,469,televised
2230,25,471,Fox
2247,25,475,EST
