char,sent_n,token_i,word
0,1,0,Rangers
8,1,1,lead
13,1,2,series
26,2,8,Best
34,2,10,Seven
50,2,14,Thrashers
61,2,16,Johan
67,2,17,Hedberg
83,2,20,Rangers
92,2,22,Henrik
99,2,23,Lundqvist
116,2,26,goaltending
128,2,27,clinics
136,2,28,Saturday
145,2,29,night
168,2,35,Lundqvist
196,2,40,laugh
209,2,43,Atlanta
217,2,44,Thrashers
227,2,45,fell
239,2,48,New
243,2,49,York
248,2,50,Rangers
277,2,57,Philips
285,2,58,Arena
294,2,60,Atlanta
303,2,62,Georgia
312,3,64,Hedberg
326,3,66,win
340,3,69,star
352,3,72,game
358,3,74,earning
373,3,77,save
378,3,78,percentage
394,3,81,Lundqvist
410,3,83,win
418,3,85,game
424,3,87,holding
432,3,88,Atlanta
452,3,92,goal
464,3,95,stopping
482,3,99,shots
493,4,102,Thrashers
504,4,104,playing
526,4,108,second
533,4,109,postseason
544,4,110,contest
555,4,112,club
560,4,113,history
569,4,115,dating
600,4,122,pressure
612,4,124,win
622,4,126,going
640,4,130,series
654,4,133,games
662,5,136,New
666,5,137,York
673,5,139,Sean
678,5,140,Avery
684,5,141,scored
700,5,144,goal
722,5,149,periods
756,6,157,scoresheet
773,6,159,remain
780,6,160,blank
802,6,164,period
824,6,170,Illya
830,6,171,Kovalchuk
840,6,172,scored
847,6,173,Atlanta
862,6,176,goal
874,6,179,contest
885,6,181,tie
893,6,183,score
909,7,190,score
921,7,192,remain
928,7,193,tied
951,7,198,New
955,7,199,York
962,7,201,Brendan
970,7,202,Shanahan
979,7,203,beat
984,7,204,Hedberg
1000,7,207,game
1005,7,208,winning
1013,7,209,goal
