char,sent_n,token_i,word
0,1,0,Around
11,1,2,million
19,1,3,inner
25,1,5,city
30,1,6,residents
49,1,9,affected
63,1,12,transit
71,1,13,system
78,1,14,strike
88,1,16,New
92,1,17,York
97,1,18,City
104,2,21,NYC
108,2,22,mayor
114,2,23,Michael
122,2,24,Bloomberg
132,2,25,said
142,2,28,press
148,2,29,conference
183,2,36,winners
197,2,40,transit
205,2,41,system
212,2,42,strike
228,2,45,reality
237,3,47,Contract
246,3,48,talks
261,3,51,begun
276,3,54,Metropolitan
289,3,55,Transit
297,3,56,Authority
308,3,58,MTA
321,3,62,Transit
329,3,63,Workers
337,3,64,Union
343,3,65,Local
355,4,69,Bloomberg
370,4,71,said
384,4,74,city
395,4,76,lose
405,4,79,million
415,4,81,day
428,4,84,economy
445,4,87,strike
457,4,90,City
462,4,91,government
479,4,93,lose
488,4,96,million
500,4,98,day
506,5,101,CNN
510,5,102,reports
523,5,104,Bloomberg
537,5,106,planned
548,5,108,close
562,5,110,key
566,5,111,streets
577,5,113,Manhattan
590,5,115,general
598,5,116,traffic
607,5,118,Fifth
617,5,120,Madison
625,5,121,avenues
651,5,126,streets
686,5,135,streets
699,5,137,First
713,5,140,avenues
734,5,145,Church
741,5,146,Street
755,5,149,event
766,5,152,complete
775,5,153,transit
783,5,154,system
790,5,155,closure
800,6,158,A
802,6,159,strike
816,6,163,occures
831,6,166,begin
841,6,168,minute
854,6,170,midnight
863,6,171,EST
876,6,174,Transit
884,6,175,Workers
893,6,177,contract
902,6,178,expires
