char,sent_n,token_i,word
0,1,0,Individual
11,1,1,letters
19,1,2,detailing
29,1,3,Progressive
41,1,4,Enterprises
54,1,6,latest
61,1,7,pay
65,1,8,offer
76,1,10,started
84,1,11,arriving
96,1,13,locked
107,1,16,supermarket
119,1,17,worker
128,1,19,homes
150,1,24,bypasses
165,1,26,unions
183,2,31,distribution
196,2,32,workers
204,2,33,yesterday
214,2,34,rejected
227,2,36,company
237,2,38,base
250,2,42,half
255,2,43,percent
263,2,44,pay
267,2,45,increase
277,2,47,claiming
297,2,51,cover
303,2,52,inflation
320,3,56,company
332,3,58,couriered
342,3,59,letters
350,3,60,directly
366,3,63,nearly
377,3,65,affected
386,3,66,workers
395,3,68,saying
405,3,70,wants
422,3,74,fully
428,3,75,informed
441,4,79,We
444,4,80,believe
456,4,82,offers
468,4,85,wage
473,4,86,increase
486,4,88,fair
492,4,90,reasonable
504,4,92,sustainable
521,4,95,consistent
541,4,98,retail
548,4,99,industry
563,4,101,pay
567,4,102,increases
599,4,110,cent
604,4,111,range
612,4,114,Mr
615,4,115,Hamnett
623,4,116,said
632,5,120,We
635,5,121,wanted
650,5,124,sure
671,5,129,offer
678,5,131,went
690,5,134,union
700,5,137,went
709,5,139,employees
723,7,143,Strikers
757,7,149,week
770,7,151,pay
783,7,154,cities
791,7,156,stocks
806,7,159,supermarkets
823,7,161,running
831,7,162,low
836,8,164,Unions
847,8,166,annoyed
858,8,168,progress
884,8,173,secure
893,8,175,national
902,8,176,collective
913,8,177,agreement
930,9,181,National
939,9,182,Distribution
952,9,183,Union
958,9,184,says
963,9,185,Progressive
977,9,187,latest
984,9,188,offer
990,9,189,fails
999,9,191,meet
1008,9,193,pay
1012,9,194,parity
1019,9,195,workers
1032,9,197,different
1042,9,198,sites
1052,9,200,seeking
1062,10,203,But
1070,10,205,company
1080,10,207,spokesperson
1094,10,209,Marty
1100,10,210,Hamnett
1109,10,212,says
1118,10,214,offer
1127,10,216,fair
1136,10,218,reasonable
1157,10,223,waiting
1168,10,225,hear
1178,10,227,individual
1189,10,228,workers
1197,10,229,think
1210,10,232,offer
1233,10,237,unions
1246,11,241,dispute
1254,11,242,involves
1267,11,244,workers
1278,11,246,Auckland
1288,11,248,Christchurch
1305,11,250,Palmerston
1316,11,251,North
1326,11,253,went
1334,11,255,strike
1344,11,257,August
1359,11,261,dispute
1374,11,264,single
1381,11,265,collective
1392,11,266,agreement
1408,11,269,pay
1412,11,270,rise
1418,12,272,They
1428,12,274,subsequently
1441,12,275,locked
1455,12,278,August
