char,sent_n,token_i,word
0,1,0,There
14,1,3,games
20,1,4,played
34,1,7,National
43,1,8,Hockey
50,1,9,League
60,1,11,March
77,2,17,Rhett
83,2,18,Warrener
100,2,21,Flames
114,2,24,board
140,2,29,game
146,3,31,Jarome
153,3,32,Iginla
160,3,33,scored
169,3,35,power
175,3,36,play
180,3,37,goal
213,3,45,Calgary
221,3,46,ahead
234,3,49,goals
241,4,51,Shane
247,4,52,Doan
252,4,53,cut
256,4,54,Calgary
266,4,56,lead
274,4,58,half
294,4,62,second
301,4,63,period
325,4,69,season
333,5,71,Iginla
340,5,72,scored
368,5,77,second
375,5,78,period
397,5,83,fortieth
406,5,84,goal
418,5,87,season
440,5,92,point
453,5,95,night
460,6,97,Calgary
468,6,98,goaltender
479,6,99,Curtis
486,6,100,Joseph
501,6,103,saves
508,6,105,earning
520,6,107,second
527,6,108,win
538,6,111,season
550,6,114,decisions
