char,sent_n,token_i,word
4,1,1,National
13,1,2,Hockey
20,1,3,League
31,1,5,announced
46,1,8,press
52,1,9,conference
63,1,10,earlier
76,1,12,week
94,1,16,open
111,1,21,NHL
115,1,22,season
131,1,25,series
142,1,28,Europe
150,2,30,On
153,2,31,October
167,2,34,October
182,2,38,New
186,2,39,York
191,2,40,Rangers
203,2,42,Tampa
209,2,43,Bay
213,2,44,Lightning
228,2,46,play
236,2,48,Prague
244,2,50,Czech
250,2,51,Republic
266,2,54,Sazka
272,2,55,Arena
287,2,59,Ottawa
294,2,60,Senators
307,2,62,Pittsburgh
318,2,63,Penguins
332,2,65,play
340,2,67,Stockholm
351,2,69,Sweden
365,2,72,Stockholm
375,2,73,Globe
381,2,74,Arena
389,3,77,Each
406,3,81,teams
422,3,84,play
427,3,85,exhibition
438,3,86,games
447,3,88,Europe
459,4,91,Rangers
472,4,93,play
485,4,95,Metallurg
495,4,96,Magnitogorsk
511,4,98,Russia
520,4,100,elite
526,4,101,league
540,4,104,IIHF
545,4,106,sanctioned
556,4,107,Victoria
565,4,108,Cup
574,5,111,Senators
588,5,113,play
601,5,115,Frolunda
613,5,117,Sweden
622,5,119,elite
628,5,120,league
640,6,123,Lightning
654,6,125,Penguins
668,6,127,play
673,6,128,exhibition
684,6,129,games
693,6,131,Germany
705,6,133,Finland
713,6,134,respectively
728,7,137,This
745,7,141,second
752,7,142,season
764,7,145,row
777,7,148,NHL
781,7,149,season
788,7,150,kicks
803,7,153,regular
811,7,154,season
818,7,155,games
830,7,157,played
840,7,159,Europe
855,7,163,start
868,7,166,current
884,7,170,season
896,7,173,Los
900,7,174,Angeles
908,7,175,Kings
918,7,177,Anaheim
926,7,178,Ducks
932,7,179,played
939,7,180,games
948,7,182,London
960,7,185,September
977,7,188,September
