char,sent_n,token_i,word
0,1,0,Following
18,1,4,day
22,1,5,summit
32,1,7,Sydney
39,1,8,rugby
45,1,9,union
51,1,10,officials
61,1,11,reached
71,1,13,decision
83,1,15,start
91,1,17,National
100,1,18,Rugby
106,1,19,Competition
121,1,21,Australia
134,1,23,July
149,2,27,aim
160,2,30,competition
183,2,34,bridge
194,2,36,gap
206,2,38,Super
219,2,41,club
224,2,42,rugby
235,3,45,competition
257,3,48,likely
267,3,50,similar
278,3,52,similar
289,3,54,New
293,3,55,Zealand
303,3,57,National
312,3,58,Provincial
323,3,59,Championship
340,3,61,South
346,3,62,Africa
355,3,64,Currie
362,3,65,Cup
368,4,68,It
375,4,70,revealed
399,4,75,team
404,4,76,competition
421,4,78,involve
435,4,80,teams
446,4,82,New
450,4,83,South
456,4,84,Wales
472,4,88,Queensland
505,4,94,ACT
510,4,96,Western
518,4,97,Australia
532,4,99,Victoria
546,5,102,QRU
550,5,103,later
556,5,104,revealed
581,5,109,Queensland
592,5,110,sides
608,5,113,likely
618,5,115,playing
633,5,118,Queensland
644,5,119,Rugby
652,5,121,old
656,5,122,home
661,5,123,Ballymore
671,5,124,Stadium
695,5,129,team
700,5,130,going
720,5,134,Gold
725,5,135,Coast
734,5,137,Northern
743,5,138,Queensland
756,6,141,Some
761,6,142,Sydney
768,6,143,clubs
778,6,146,particular
790,6,148,Randwick
803,6,150,Sydney
810,6,151,University
821,6,152,Football
830,6,153,Club
840,6,155,opposed
855,6,158,competition
872,6,161,want
877,6,162,stand
889,6,165,status
903,6,168,competition
943,6,175,cumulative
954,6,176,Sydney
961,6,177,team
972,6,180,believing
991,6,183,competition
1017,6,187,lose
1022,6,188,funding
1031,7,190,Businessman
1043,7,191,John
1048,7,192,Singleton
1058,7,193,came
1071,7,196,showed
1082,7,198,interest
1094,7,200,having
1112,7,204,NSW
1116,7,205,sides
1122,7,206,playing
1133,7,208,Central
1141,7,209,Coast
1147,7,210,Stadium
1157,8,213,Super
1166,8,215,players
1182,8,218,playing
1212,8,225,twice
1226,8,228,clubs
1239,8,231,Super
1268,8,239,lot
1275,8,241,available
1285,8,242,spaces
1296,8,244,club
1301,8,245,footballers
1314,9,247,There
1326,9,250,plan
1338,9,253,immediate
1348,9,254,draft
1355,10,256,Although
1364,10,257,Super
1373,10,259,players
1389,10,262,playing
1408,10,266,players
1424,10,269,unavailable
1443,10,272,Wallaby
1451,10,273,duties
1463,11,276,ABC
1471,11,278,apparently
1482,11,279,expressed
1492,11,280,interest
1504,11,282,broadcasting
1521,11,284,games
1532,11,286,year
