char,sent_n,token_i,word
8,1,2,federal
16,1,3,senators
28,1,5,Nebraska
45,1,8,sure
66,1,13,backing
74,1,14,President
84,1,15,Barack
91,1,16,Obama
104,1,20,billion
112,1,21,dollar
119,1,22,stimulus
128,1,23,plan
137,1,26,spite
146,1,28,approval
162,1,31,bill
167,1,32,given
180,1,35,House
189,1,37,Representatives
208,1,39,Wednesday
223,2,42,bill
233,2,44,support
241,2,45,Nebraska
267,2,50,million
278,2,52,help
287,2,54,state
293,2,55,budget
317,2,60,years
347,2,67,state
356,2,69,extra
367,2,72,million
381,2,75,spent
390,2,77,infrastructure
405,2,78,construction
422,2,80,repair
431,3,83,Nebraskan
446,3,85,Ben
450,3,86,Nelson
458,3,88,Democrat
468,3,90,said
473,3,91,allotting
488,3,94,billion
500,3,96,medical
508,3,97,research
521,3,99,troublesome
534,4,101,Nelson
541,4,102,wants
559,4,106,jobs
564,4,107,created
576,4,109,Nebraskans
592,4,112,believes
605,4,114,bill
617,4,117,truly
623,4,118,stimulus
644,4,122,constitutes
656,4,123,additional
667,4,124,spending
677,5,126,Republican
693,5,128,Mike
698,5,129,Johanns
706,5,130,agreed
725,5,133,Nelson
742,5,137,pointed
758,5,140,stimulus
767,5,141,money
781,5,144,National
790,5,145,Endowment
808,5,148,Arts
818,5,151,form
826,5,153,job
830,5,154,creation
841,6,157,Nelson
848,6,158,stated
860,6,160,Nebraska
874,6,162,receive
894,6,166,million
902,6,167,dollars
914,6,169,highway
922,6,170,construction
944,6,173,stimulus
953,6,174,plan
967,6,178,need
980,6,181,state
989,6,183,match
999,6,185,funding
1008,7,187,Around
1018,7,189,billion
1026,7,190,dollars
1037,7,192,highway
1045,7,193,funds
1055,7,195,found
1064,7,197,stimulus
1073,7,198,appropriations
1095,7,201,Nelson
1102,7,202,said
1110,7,204,supported
1125,7,207,member
1139,7,210,Senate
1146,7,211,Appropriations
1161,7,212,Committee
1176,8,215,package
1192,8,218,said
1200,8,220,set
1204,8,221,aside
1210,8,222,money
1219,8,224,help
1224,8,225,build
1230,8,226,hospitals
1243,8,228,rural
1249,8,229,areas
1267,8,234,community
1277,8,235,health
1284,8,236,centers
1293,9,238,Money
1307,9,241,construction
1324,9,243,repair
1334,9,245,veterans
1343,9,246,medical
1351,9,247,facilities
1367,9,250,funding
1378,9,252,help
1383,9,253,drinking
1396,9,255,wastewater
1407,9,256,infrastructure
1431,9,259,included
1447,10,263,Johanns
1455,10,264,commented
1473,10,267,thinks
1499,10,273,paid
1513,10,277,instead
1529,10,280,funded
1539,10,282,floating
1548,10,283,debt
