char,sent_n,token_i,word
0,1,0,Finnish
8,1,1,company
16,1,2,Neste
22,1,3,Oil
31,1,5,announced
51,1,8,intend
61,1,10,construct
75,1,12,world
83,1,14,largest
91,1,15,biodiesel
101,1,16,plant
110,1,18,Singapore
125,1,21,cost
138,1,25,million
151,2,28,NExBTL
158,2,29,facility
175,2,32,Neste
194,2,36,project
210,2,40,intended
229,2,44,maximum
237,2,45,capacity
257,2,48,tonnes
266,2,50,year
273,3,53,Demand
284,3,55,biofuels
296,3,57,expected
308,3,59,rise
313,3,60,greatly
339,3,65,years
364,3,71,cited
375,3,74,good
380,3,75,way
387,3,77,reduce
394,3,78,greenhouse
405,3,79,gas
409,3,80,emissions
428,3,84,viewed
440,3,87,renewable
450,3,88,alternative
465,3,90,crude
471,3,91,oil
493,3,96,record
500,3,97,high
505,3,98,prices
515,3,100,recent
522,3,101,months
535,4,105,site
549,4,108,strategically
563,4,109,selected
578,4,112,close
587,4,114,Malaysia
600,4,116,Indonesia
628,4,122,leading
636,4,123,world
642,4,124,suppliers
655,4,126,palm
660,4,127,oil
674,4,131,intended
693,4,135,main
698,4,136,fuel
711,4,139,plant
718,5,141,Between
736,5,144,account
755,5,149,global
762,5,150,production
774,6,152,However
787,6,155,use
794,6,157,palm
799,6,158,oil
806,6,160,controversial
829,6,164,environmental
843,6,165,scientists
858,6,167,campaigners
870,6,168,believe
899,6,174,negative
908,6,175,effect
918,6,177,increased
928,6,178,demand
938,6,180,turn
943,6,181,causes
950,6,182,higher
957,6,183,food
962,6,184,prices
973,6,186,greater
981,6,187,levels
991,6,189,deforestation
1007,7,192,Earlier
1020,7,194,year
1026,7,196,Greenpeace
1037,7,197,attempted
1050,7,199,stop
1057,7,201,palm
1062,7,202,oil
1066,7,203,tanker
1073,7,204,ship
1078,7,205,destined
1090,7,207,Neste
1098,7,209,existing
1107,7,210,biodiesel
1117,7,211,plant
1126,7,213,Porvoo
1134,7,215,Finland
1147,7,218,failed
1157,7,220,stop
1166,7,222,delivery
1176,8,224,In
1179,8,225,addition
1195,8,228,Porvoo
1202,8,229,plant
1215,8,232,began
1221,8,233,operations
1232,8,234,earlier
1245,8,236,year
1264,8,241,capacity
1273,8,242,production
1295,8,245,tonnes
1303,8,247,Neste
1309,8,248,plan
1316,8,250,second
1323,8,251,plant
1332,8,253,open
1351,9,259,new
1355,9,260,plant
1366,9,262,increase
1375,9,263,demand
1386,9,265,palm
1391,9,266,oil
1407,9,271,require
