char,sent_n,token_i,word
4,1,1,newly
10,1,2,elected
22,1,4,protested
32,1,5,Kyrgyz
39,1,6,parliament
50,1,7,today
56,1,8,voted
70,1,11,opposition
81,1,12,leader
88,1,13,Kurmanbek
98,1,14,Bakiyev
109,1,16,prime
115,1,17,minister
132,1,21,reconvening
151,1,23,parliament
171,1,26,days
188,2,30,lower
194,2,31,house
214,2,35,parliament
230,2,37,formally
239,2,38,stepped
266,2,43,upper
272,2,44,house
300,3,52,Deposed
308,3,53,president
318,3,54,Askar
324,3,55,Akayev
331,3,56,issued
340,3,58,statement
355,3,60,Russia
365,3,62,response
375,3,64,accusing
388,3,66,new
392,3,67,leaders
403,3,69,disgracing
418,3,71,country
430,3,73,ruining
442,3,75,economy
452,4,78,In
455,4,79,response
471,4,82,endorsement
484,4,84,Bakiyev
492,4,85,issued
501,4,87,statement
511,4,88,acknowledging
529,4,90,newly
535,4,91,elected
543,4,92,parliament
561,4,95,legitimate
579,5,100,I
588,5,103,reproached
603,5,105,saying
610,5,106,earlier
627,5,109,February
640,5,111,March
646,5,112,polls
661,5,115,legitimate
673,6,117,I
675,6,118,said
684,7,121,But
696,7,124,parliament
715,7,127,questions
742,7,133,constituencies
768,7,138,saying
784,7,141,deputies
806,7,147,Bakiyev
814,7,148,explained
826,8,151,Speaker
841,8,154,outgoing
850,8,155,lower
856,8,156,chamber
878,8,160,parliament
890,8,162,Ishenbai
899,8,163,Kadyrbekov
911,8,165,said
925,8,168,decision
941,8,172,political
958,8,176,legislative
970,8,177,decision
993,8,182,sake
1001,8,184,stabilizing
1017,8,186,situation
1031,9,189,If
1034,9,190,needed
1046,9,193,Legislative
1058,9,194,Assembly
1071,9,196,convene
1088,10,201,Despite
1100,10,203,situation
1111,10,205,Omurbek
1119,10,206,Tekebayev
1130,10,208,newly
1136,10,209,elected
1144,10,210,speaker
1159,10,213,new
1163,10,214,parliament
1175,10,216,told
1180,10,217,Kyrgyz
1187,10,218,television
1203,10,220,Akayev
1220,10,223,legally
1232,10,225,president
1249,10,228,country
1268,10,231,return
1287,10,236,complete
1298,10,238,formal
1305,10,239,resignation
1319,11,242,New
1323,11,243,presidential
1336,11,244,elections
1358,11,248,called
1371,11,250,talks
1382,11,252,Akayev
1419,11,259,anticonstitutional
1448,11,264,said
1455,12,267,Opposition
1466,12,268,leaders
1479,12,270,offered
1487,12,271,Akayev
1494,12,272,immunity
1507,12,274,said
1533,12,280,impeached
1556,12,283,prosecuted
1573,12,286,returned
1589,12,289,country
