char,sent_n,token_i,word
0,1,0,George
7,1,1,Michael
15,1,2,Steinbrenner
28,1,3,III
33,1,5,businessman
46,1,7,owner
63,1,10,principal
73,1,11,executive
90,1,14,New
94,1,15,York
99,1,16,Yankees
108,1,18,died
126,1,22,EDT
136,1,25,UTC
141,1,27,Tuesday
154,1,30,massive
162,1,31,heart
168,1,32,attack
182,1,35,Joseph
191,1,37,Hospital
203,1,39,Tampa
210,1,41,Florida
222,1,44,age
231,2,48,His
235,2,49,family
242,2,50,issued
251,2,52,statement
261,2,53,saying
270,2,56,It
281,2,59,profound
290,2,60,sadness
307,2,63,family
317,2,65,George
327,2,67,Steinbrenner
340,2,68,III
344,2,69,announces
358,2,71,passing
367,3,73,He
377,3,76,incredible
392,3,78,charitable
403,3,79,man
410,4,81,He
419,4,84,visionary
435,4,87,giant
448,4,90,world
457,4,92,sports
465,5,94,He
468,5,95,took
475,5,97,great
485,5,99,struggling
496,5,100,franchise
510,5,102,turned
527,5,106,champion
545,6,111,Born
553,6,113,July
567,6,118,Steinbrenner
590,6,122,shipping
599,6,123,magnate
608,6,125,bought
619,6,127,Yankees
632,6,129,CBS
645,7,133,As
648,7,134,owner
661,7,137,Yankees
673,7,140,led
681,7,142,team
696,7,145,American
705,7,146,League
712,7,147,pennants
725,7,149,seven
731,7,150,World
737,7,151,Series
744,7,152,titles
752,8,154,Nicknamed
767,8,157,Boss
774,8,160,Steinbrenner
787,8,161,pursued
795,8,162,free
800,8,163,agents
812,8,165,great
818,8,166,fervor
826,8,168,signing
834,8,169,Reggie
841,8,170,Jackson
859,8,175,year
872,8,179,million
880,8,180,deal
900,8,184,season
908,9,186,He
916,9,188,frequently
927,9,189,changed
935,9,190,managers
945,9,192,including
955,9,193,firing
966,9,195,rehiring
975,9,196,Billy
981,9,197,Martin
993,9,199,times
1000,10,201,Steinbrenner
1017,10,203,banned
1029,10,205,baseball
1050,10,209,paying
1075,10,214,information
1090,10,216,discredit
1107,10,218,Yankees
1115,10,219,outfielder
1126,10,220,David
1132,10,221,Winfield
1150,10,225,reinstated
1172,11,230,New
1176,11,231,York
1181,11,232,City
1186,11,233,mayor
1192,11,234,Michael
1200,11,235,Bloomberg
1210,11,236,ordered
1218,11,237,flags
1227,11,239,City
1232,11,240,Hall
1237,11,241,Plaza
1249,11,244,lowered
1260,11,246,half
1265,11,247,mast
1271,11,249,saying
1280,11,252,Our
1284,11,253,hearts
1295,11,255,prayers
1317,11,260,entire
1324,11,261,Steinbrenner
1337,11,262,family
1345,12,264,This
1355,12,267,sad
1359,12,268,day
1376,12,272,Yankee
1383,12,273,fans
1401,12,278,entire
1408,12,279,city
1421,12,283,people
1439,12,287,bigger
1446,12,288,impact
1456,12,290,New
1460,12,291,York
1474,12,294,past
1484,12,296,decades
1497,12,298,George
1504,12,299,Steinbrenner
1520,13,303,Fred
1525,13,304,Wilpon
1533,13,306,Jeff
1538,13,307,Wilpon
1550,13,310,Saul
1555,13,311,Katz
1561,13,313,owners
1575,13,316,Yankees
1584,13,318,crosstown
1594,13,319,rival
1600,13,320,Mets
1606,13,322,said
1617,13,326,passing
1628,13,328,George
1635,13,329,Steinbrenner
1648,13,330,marks
1658,13,332,end
1668,13,335,era
1675,13,337,New
1679,13,338,York
1684,13,339,City
1689,13,340,baseball
1698,13,341,history
1709,14,345,Yankees
1717,14,346,legend
1724,14,347,Yogi
1729,14,348,Berra
1735,14,349,said
1742,14,352,George
1757,14,355,Boss
1771,14,359,mistake
1780,15,361,He
1783,15,362,built
1793,15,364,Yankees
1806,15,366,champions
1853,15,374,deny
1859,16,376,He
1873,16,380,generous
1883,16,382,caring
1891,16,384,passionate
1902,16,385,man
1907,17,387,George
1918,17,389,I
1928,17,392,differences
1957,18,399,We
1967,18,401,great
1973,18,402,friends
1995,18,406,decade
2006,19,408,I
2013,19,410,miss
2035,20,417,Current
2043,20,418,Commissioner
2059,20,420,Baseball
2068,20,421,Bud
2072,20,422,Selig
2078,20,423,said
2100,20,429,saddened
2113,20,432,hear
2125,20,435,loss
2134,20,437,added
2142,20,440,George
2155,20,443,giant
2168,20,446,game
2181,20,449,devotion
2193,20,451,baseball
2206,20,453,surpassed
2228,20,457,devotion
2244,20,460,family
2259,20,463,beloved
2267,20,464,New
2271,20,465,York
2276,20,466,Yankees
2287,21,468,We
2295,21,470,miss
2305,21,473,especially
2316,21,474,Tuesday
2324,21,475,night
2339,21,478,baseball
2348,21,479,family
2363,21,482,gathered
2375,21,484,Angel
2381,21,485,Stadium
2397,21,488,All
2401,21,490,Star
2406,21,491,Game
2414,22,495,Steinbrenner
2430,22,497,survived
2446,22,500,wife
2451,22,501,Joan
2461,22,504,sisters
2475,22,507,children
2485,22,509,including
2495,22,510,Hank
2504,22,512,Hal
2513,22,515,took
2523,22,517,Yankees
2531,22,518,operations
2559,22,524,grandchildren
2578,23,527,Steinbrenner
2591,23,528,family
2598,23,529,said
2623,23,535,private
2631,23,536,funeral
2645,23,539,public
2652,23,540,service
2669,23,543,held
2679,23,546,later
2685,23,547,date
2691,24,549,His
2695,24,550,death
2701,24,551,comes
2712,24,554,time
2720,24,556,great
2726,24,557,sadness
2742,24,560,Yankees
2758,24,564,days
2763,24,565,earlier
2771,24,566,longtime
2780,24,567,Yankees
2788,24,568,public
2795,24,569,announcer
2805,24,570,Bob
2809,24,571,Sheppard
2818,24,572,died
