char,sent_n,token_i,word
0,1,0,A
2,1,1,New
6,1,2,Zealand
14,1,3,High
19,1,4,Court
25,1,5,judge
35,1,7,granted
43,1,8,leave
49,1,9,today
62,1,12,New
66,1,13,Zealand
74,1,14,Police
84,1,16,prosecute
94,1,17,current
102,1,18,Member
112,1,20,Parliament
124,1,22,MP
129,1,25,Taito
135,1,26,Phillip
143,1,27,Field
150,2,29,When
155,2,30,Field
164,2,32,charged
181,2,36,face
189,2,38,charges
197,2,39,relating
209,2,41,bribery
221,2,43,corruption
234,3,46,Judge
240,3,47,Justice
248,3,48,Tony
253,3,49,Randerson
263,3,50,said
275,3,53,ruling
305,3,59,public
312,3,60,interest
333,3,65,extremely
352,3,68,charges
360,3,69,laid
377,3,72,independent
389,3,73,MP
393,4,75,Justice
401,4,76,Randerson
411,4,77,said
425,4,80,allegations
444,4,84,strike
458,4,87,heart
471,4,90,administration
489,4,92,government
508,4,95,integrity
521,4,97,members
532,4,99,Parliament
546,6,103,Work
552,6,105,worth
580,6,110,undertaken
594,6,112,seven
600,6,113,houses
611,6,115,MP
614,6,116,owns
622,6,118,Auckland
632,6,120,Wellington
644,6,122,Tonga
654,6,124,Samoa
663,6,126,Thais
670,7,128,In
673,7,129,return
681,7,131,Field
687,7,132,helped
704,7,135,immigration
716,7,136,applications
734,7,138,New
738,7,139,Zealand
747,8,141,Justice
755,8,142,Randerson
765,8,143,said
772,8,146,There
784,8,149,question
802,8,152,respondent
813,8,153,undertook
823,8,154,immigration
835,8,155,work
848,8,158,named
854,8,159,individuals
880,8,163,carried
892,8,165,painting
902,8,167,plastering
917,8,169,tiling
924,8,170,work
937,8,173,respondent
963,8,177,properties
981,9,182,trial
992,9,184,focus
1009,9,187,aspects
1018,10,189,Firstly
1039,10,193,work
1044,10,194,carried
1060,10,197,undervalued
1076,10,199,secondly
1089,10,202,work
1112,10,207,return
1123,10,209,immigration
1135,10,210,assistance
1152,10,213,corrupt
1160,10,214,arrangement
1180,10,217,treated
1198,11,222,If
1201,11,223,convicted
1212,11,225,Field
1223,11,227,face
1230,11,229,maximum
1238,11,230,sentence
1250,11,232,seven
1256,11,233,years
1265,11,235,jail
1276,11,237,Section
1295,11,241,Crimes
1302,11,242,Act
1313,12,246,This
1318,12,247,ruling
1325,12,248,sets
1332,12,250,precedent
1345,12,252,New
1349,12,253,Zealand
1360,12,255,Field
1379,12,259,MP
1385,12,261,face
1396,12,263,types
1405,12,265,charges
1414,13,267,In
1417,13,268,June
1435,13,273,court
1441,13,274,hearing
1452,13,276,argue
1461,13,278,charges
1480,13,282,laid
1504,13,286,Labour
1511,13,287,MP
1521,13,290,Crown
1528,14,292,In
1531,14,293,June
1537,14,295,Crown
1543,14,296,Prosecutor
1554,14,297,Simon
1560,14,298,Moore
1566,14,299,said
1577,14,303,rational
1592,14,306,High
1597,14,307,Court
1603,14,308,judge
1615,14,310,involved
1631,14,313,exercise
1640,14,314,appears
1654,14,317,based
1667,14,320,need
1675,14,322,avoid
1685,14,324,appearance
1701,14,327,ministerial
1716,14,329,political
1726,14,330,interference
1742,14,332,making
1751,14,334,prosecutorial
1765,14,335,decision
1777,15,339,At
1789,15,342,June
1794,15,343,court
1800,15,344,hearing
1809,15,346,Field
1815,15,347,said
1827,15,350,innocent
1843,15,353,allegations
1857,16,356,I
1875,16,360,hide
1881,17,362,I
1886,17,364,innocent
1905,17,368,best
1915,17,370,I
1929,18,376,When
1938,18,378,allegations
1956,18,380,surfaced
1966,18,382,Phillip
1974,18,383,Field
1986,18,386,sitting
1994,18,387,Labour
2001,18,388,MP
2005,19,390,He
2008,19,391,resigned
2026,19,394,party
2035,19,396,February
2048,19,398,returned
2060,19,400,Parliament
2077,19,403,independent
2095,20,407,ruling
2110,20,410,appealed
2122,20,412,Field
2130,20,414,lawyers
