char,sent_n,token_i,word
4,1,1,new
8,1,2,Antonov
23,1,4,jet
42,1,8,commercial
53,1,9,flight
65,1,11,Saint
71,1,12,Petersburg
83,1,14,Russia
93,1,16,Moscow
103,1,18,Thursday
114,2,21,Starting
139,2,26,busiest
147,2,27,regional
156,2,28,routes
166,2,30,Russia
173,2,31,new
177,2,32,Antonovs
193,2,35,connect
211,2,38,major
217,2,39,destinations
241,2,41,Europe
254,3,45,new
258,3,46,aircraft
271,3,48,designed
287,3,51,Ukraine
302,3,54,famous
309,3,55,Antonov
317,3,56,design
324,3,57,bureau
338,3,60,manufactured
354,3,62,Voronezh
364,3,64,Russia
376,4,67,twinjet
384,4,68,features
395,4,70,high
400,4,72,wing
405,4,73,design
413,4,75,glass
419,4,76,cockpit
434,4,79,passengers
445,4,80,cabin
462,4,84,thousand
471,4,85,km
474,4,86,range
487,4,89,average
499,4,91,km
502,4,93,h
504,4,94,cruising
513,4,95,speed
531,5,100,serial
538,5,101,airplane
551,5,103,recently
560,5,104,joined
571,5,106,fleet
580,5,108,Rossiya
594,5,112,Russia
603,5,115,airline
617,5,117,lease
623,5,118,contract
637,5,120,Ilyushin
646,5,121,Finance
654,5,122,Company
