char,sent_n,token_i,word
0,1,0,Nine
5,1,1,people
17,1,3,arrested
29,1,5,Thursday
41,1,7,cities
51,1,9,Florida
60,1,11,Alabama
72,1,13,Mississippi
98,1,17,charged
128,1,23,federal
136,1,24,indictment
153,1,27,interstate
164,1,28,human
170,1,29,trafficking
182,1,30,case
188,2,32,According
201,2,34,William
209,2,35,Thornton
235,2,40,indictment
250,2,42,announced
263,2,44,Christopher
278,2,46,Canova
286,2,48,Acting
293,2,49,United
300,2,50,States
307,2,51,Attorney
325,2,54,Northern
334,2,55,District
346,2,57,Florida
358,4,61,According
375,4,64,indictment
395,4,67,July
409,4,70,August
424,4,73,year
434,4,76,defendants
445,4,77,transported
458,4,79,housed
469,4,81,marketed
478,4,82,women
491,4,85,Florida
500,4,87,Alabama
509,4,89,Louisiana
523,4,91,Mississippi
536,5,93,They
541,5,94,took
550,5,96,proceeds
563,5,98,wired
585,5,103,country
597,6,107,Jose
602,6,108,Juan
607,6,109,Ruiz
612,6,110,Prudencio
631,6,115,Emerson
639,6,116,Corvera
660,6,122,Montgomery
677,6,125,arrested
697,6,128,defendants
711,6,130,Florida
720,6,132,Mississippi
736,6,134,Georgia
746,6,137,William
754,6,138,Thornton
763,6,139,reported
784,7,144,arrested
803,7,147,charged
822,7,150,counts
832,7,152,enticing
841,7,153,individuals
856,7,155,travel
866,7,157,engage
876,7,159,prostitution
890,7,161,seven
896,7,162,counts
906,7,164,transporting
919,7,165,people
929,7,167,engage
939,7,169,prostitution
958,7,172,counts
968,7,174,money
974,7,175,laundering
990,7,178,counts
1000,7,180,harbouring
1014,7,182,alien
1028,7,185,purpose
1039,7,187,prostitution
1056,7,189,illegal
1064,7,190,entry
1075,7,193,deported
1084,7,194,alien
1093,8,197,This
1098,8,198,case
1103,8,199,resulted
1128,8,203,investigation
1147,8,205,human
1153,8,206,trafficking
1165,8,207,activities
1183,8,210,Northern
1192,8,211,District
1204,8,213,Florida
1215,8,215,Federal
1223,8,216,Bureau
1233,8,218,Investigation
1248,8,220,FBI
1261,8,224,United
1268,8,225,States
1275,8,226,Immigration
1291,8,228,Customs
1299,8,229,Enforcement
1312,8,231,ICE
1317,9,233,Homeland
1326,9,234,Security
1335,9,235,Investigations
1351,9,237,HIS
1358,9,240,Panama
1365,9,241,City
1370,9,242,Resident
1379,9,243,Agent
1388,9,245,Charge
1398,10,248,According
1411,10,250,Kelsey
1418,10,251,Davis
1429,10,253,Montgomery
1440,10,254,Advertiser
1457,10,258,indictment
1473,10,260,says
1490,10,264,women
1501,10,266,involved
1520,10,270,sold
1537,10,275,session
1550,11,278,price
1560,11,280,later
1566,11,281,raised
1592,11,287,defendants
1603,11,288,allegedly
1613,11,289,stated
1633,11,293,making
1652,11,297,profit
1673,11,301,price
1682,13,305,According
1699,13,308,FBI
1703,13,309,Federal
1711,13,310,Bureau
1721,13,312,Investigation
1740,13,315,defendants
1757,13,320,Edegardo
1766,13,321,Osorno
1773,13,322,Rodriguez
1788,13,326,Santa
1794,13,327,Rosa
1799,13,328,Beach
1806,13,330,Florida
1816,14,334,Antonio
1824,14,335,Flores
1831,14,337,Esparza
1844,14,341,Pensacola
1855,14,343,Florida
1865,15,347,Jose
1870,15,348,Juan
1875,15,349,Ruiz
1880,15,350,Prudencio
1895,15,354,Montgomery
1907,15,356,Alabama
1917,16,360,Jose
1922,16,361,Alvaro
1929,16,362,Trujillo
1938,16,364,Santiz
1950,16,368,Panama
1957,16,369,City
1962,16,370,Beach
1969,16,372,Florida
1979,17,376,Rosa
1984,17,377,Mirtha
1991,17,378,Cruz
1996,17,379,Vidal
2007,17,383,Santa
2013,17,384,Rosa
2018,17,385,Beach
2025,17,387,Florida
2035,18,391,Mauro
2041,18,392,Gonzalez
2050,18,394,Lira
2060,18,398,McComb
2068,18,400,Mississippi
2082,19,404,Romon
2088,19,405,Tobon
2099,19,409,Starkville
2111,19,411,Mississippi
2125,20,415,Lazaro
2132,20,416,Juarez
2139,20,418,Juarez
2151,20,422,Atlanta
2160,20,424,Georgia
2174,20,429,Emerson
2182,20,430,Corvera
2195,20,434,Montgomery
2207,20,436,Alabama
