char,sent_n,token_i,word
0,1,0,At
13,1,3,men
20,1,5,Sweden
32,1,7,arrested
47,1,9,security
56,1,10,officials
73,1,13,Oskarshamn
84,1,14,Nuclear
92,1,15,Power
98,1,16,Plant
104,1,17,discovered
115,1,18,traces
128,1,21,explosive
138,1,22,material
152,1,25,plastic
160,1,26,bag
165,2,28,Oskarshamnsverkets
184,2,29,Kraftgrupp
195,2,30,OKG
199,2,31,operates
212,2,33,plant
241,2,40,nuclear
249,2,41,power
255,2,42,plants
265,2,44,Sweden
274,3,47,Reports
298,3,52,outside
311,3,55,bag
319,3,57,Acetone
327,3,58,peroxide
340,3,61,TATP
346,3,63,primarily
366,3,67,high
371,3,68,yield
377,3,69,explosive
403,3,75,organic
411,3,76,peroxide
428,3,79,making
435,3,80,chemicals
449,3,82,cleaning
464,4,86,unidentified
477,4,87,men
513,4,98,contractors
529,4,100,welders
537,4,101,hired
553,4,104,work
565,4,107,plant
577,4,110,stopped
593,4,113,entered
605,4,115,plant
612,5,117,Authorities
629,5,119,called
643,5,122,scene
664,5,126,bomb
669,5,127,squad
680,5,130,sealed
691,5,132,parts
704,5,135,plant
720,5,138,detected
733,5,140,explosive
743,5,141,material
757,5,144,bag
763,5,146,handle
771,6,148,Security
780,6,149,detected
793,6,151,material
813,6,155,described
826,6,157,CNN
836,6,161,routine
845,6,163,security
854,6,164,check
861,7,166,Police
868,7,167,believe
897,7,174,man
903,7,176,hands
917,7,179,rubbed
937,7,183,bag
949,7,187,bomb
958,7,189,found
973,7,192,extensive
983,7,193,search
991,8,195,Both
996,8,196,men
1010,8,199,charged
1023,8,201,attempted
1033,8,202,sabotage
1056,8,206,undergoing
1067,8,207,interrogation
1082,9,209,Both
1087,9,210,face
1092,9,211,sentences
1115,9,216,years
1124,9,218,prison
1133,10,221,Plant
1139,10,222,officials
1149,10,223,state
1164,10,226,plant
1180,10,229,received
1191,10,231,threat
1210,10,236,past
1240,10,245,threat
1255,10,248,future
1264,10,251,said
1269,10,252,President
1282,10,254,OKG
1287,10,256,Lars
1292,10,257,Thuring
1311,11,262,thing
1330,11,266,found
1344,11,269,trace
1353,11,271,explosives
1371,11,274,bag
1378,12,278,TATP
1392,12,282,unstable
1407,12,285,sensitive
1425,12,288,friction
1438,12,290,shocks
1447,12,293,said
1452,12,294,Swedish
1460,12,295,Defense
1468,12,296,Research
1477,12,297,Agency
1484,12,298,expert
1492,12,300,Svante
1499,12,301,Karlsson
1509,13,303,A
1511,13,304,small
1530,13,307,cause
1544,13,309,damage
1562,13,312,handling
1575,13,314,material
1593,13,317,described
1607,13,320,Mother
1617,13,322,Satan
1625,14,325,Would
1635,14,329,shoe
1640,14,330,bomber
1648,14,332,Richard
1656,14,333,Reid
1670,14,336,substance
1686,14,339,attempt
1697,14,341,blow
1705,14,343,American
1714,14,344,Airlines
1723,14,345,flight
1738,14,348,Paris
1745,14,350,France
1755,14,352,Miami
1762,14,354,Florida
1788,15,360,substance
1819,15,366,July
1829,15,368,bombings
1841,15,370,London
1849,15,372,England
1863,16,376,plant
1871,16,378,reactors
1891,16,382,men
1900,16,384,scheduled
1913,16,386,work
1924,16,389,turned
1938,16,392,May
1949,16,395,routine
1957,16,396,maintenance
1974,17,399,rest
1986,17,402,plant
1994,17,404,operations
2014,17,407,interrupted
