char,sent_n,token_i,word
0,1,0,In
3,1,1,Fuerteventura
22,1,4,Foreigner
32,1,5,Internment
43,1,6,Center
51,1,8,La
54,1,9,Matorral
72,1,13,scene
84,1,16,incident
96,1,18,Tuesday
104,1,19,evening
113,2,21,Five
118,2,22,officers
134,2,25,National
143,2,26,Police
150,2,27,sustained
160,2,28,light
166,2,29,injuries
195,2,35,immigrants
211,3,38,riot
216,3,39,started
231,3,42,man
235,3,43,tried
250,3,47,second
257,3,48,dinner
266,4,51,Only
277,4,53,policemen
292,4,55,guarding
310,4,58,detained
319,4,59,immigrants
331,5,61,Members
346,5,64,Police
353,5,65,Union
359,5,66,attributed
374,5,68,incident
390,5,71,recent
397,5,72,increase
409,5,74,immigration
426,5,76,Africa
440,5,79,Canary
447,5,80,Isles
454,6,82,As
459,6,84,result
467,6,86,custody
475,6,87,centres
487,6,89,overcrowded
500,7,91,Guards
522,7,96,different
532,7,97,atmosphere
550,7,100,normally
563,7,102,centers
580,7,105,tranquil
597,7,108,guards
608,7,110,needed
