char,sent_n,token_i,word
0,1,0,Oil
4,1,1,prices
11,1,2,rose
16,1,3,dramatically
32,1,5,Monday
47,1,8,major
53,1,9,Alaskan
61,1,10,oil
65,1,11,field
71,1,12,shut
81,1,14,operations
93,1,16,halving
105,1,18,total
111,1,19,output
121,1,21,oil
130,1,23,Alaska
138,2,25,Coming
159,2,30,ongoing
167,2,31,violence
183,2,34,Middle
190,2,35,East
200,2,38,price
209,2,40,Light
216,2,42,sweet
222,2,43,crude
232,2,45,September
242,2,46,delivery
251,2,47,rose
279,2,55,barrel
289,2,57,early
295,2,58,afternoon
305,2,59,Asian
311,2,60,trading
326,2,63,New
330,2,64,York
335,2,65,Mercantile
346,2,66,Exchange
357,3,69,London
364,3,70,brent
370,3,71,crude
376,3,72,peaked
407,4,79,shutdown
423,4,82,Prudhoe
431,4,83,Bay
435,4,84,oil
439,4,85,field
446,4,87,caught
453,4,88,traders
464,4,90,surprise
475,4,93,says
480,4,94,Victor
487,4,95,Shum
496,4,98,energy
503,4,99,analyst
514,4,101,Singapore
530,5,105,Middle
537,5,106,East
542,5,107,violence
556,5,110,threat
570,5,113,oil
574,5,114,supply
586,5,117,Alaska
598,5,120,real
603,5,121,disruption
621,6,126,oil
625,6,127,field
631,6,128,began
637,6,129,shutdown
646,6,130,procedures
660,6,132,Sunday
674,6,135,severe
681,6,136,corrosion
697,6,139,minor
703,6,140,leakage
719,6,143,oil
723,6,144,transit
731,6,145,line
741,7,148,total
747,7,149,shutdown
756,7,150,process
767,7,152,expected
795,7,158,days
801,8,160,BP
804,8,161,Exploration
816,8,162,Alaska
824,8,164,Inc
833,8,167,company
841,8,168,running
853,8,170,field
864,8,173,said
874,8,175,oil
878,8,176,production
897,8,179,reduced
916,8,182,barrels
928,8,184,day
936,8,187,nearly
953,8,192,total
964,8,194,oil
968,8,195,production
981,9,198,BP
984,9,199,officials
1001,9,202,know
1010,9,204,long
1019,9,206,field
1030,9,208,stay
1035,9,209,offline
