char,sent_n,token_i,word
0,1,0,Billy
6,1,1,Werber
20,1,4,baseman
31,1,6,Major
37,1,7,League
44,1,8,Baseball
58,1,11,died
70,1,14,age
82,2,18,Werber
89,2,19,died
97,2,21,natural
105,2,22,causes
115,2,24,Thursday
125,2,26,January
148,2,32,assisted
157,2,33,living
164,2,34,center
174,2,36,Charlotte
185,2,38,North
191,2,39,Carolina
201,3,41,He
208,3,43,moved
230,3,47,health
237,3,48,deteriorated
252,3,50,month
258,3,51,ago
264,4,54,His
268,4,55,son
272,4,56,said
287,4,59,admitted
297,4,61,Werber
304,4,62,refused
315,4,64,eat
319,4,65,solid
325,4,66,foods
346,4,70,drink
352,4,71,liquids
362,5,74,He
370,5,76,refused
381,5,78,eat
402,5,83,plan
409,5,86,Bill
414,5,87,Werber
425,5,89,told
434,5,91,Associated
445,5,92,Press
452,6,94,He
455,6,95,added
470,6,98,father
482,6,101,sharp
502,6,105,weeks
508,6,106,ago
515,7,110,Born
520,7,111,William
528,7,112,Murray
535,7,113,Werber
545,7,115,June
562,7,120,Berwyn
569,7,121,Heights
578,7,123,Maryland
591,7,126,played
606,7,129,New
610,7,130,York
615,7,131,Yankees
646,7,140,Boston
653,7,141,Red
657,7,142,Sox
683,7,151,Philadelphia
696,7,152,Athletics
724,7,160,Cincinnati
735,7,161,Reds
765,7,170,New
769,7,171,York
774,7,172,Giants
796,8,179,In
805,8,182,Werber
823,8,185,starting
838,8,187,baseman
853,8,190,Red
857,8,191,Sox
862,9,193,He
865,9,194,responded
882,9,197,career
889,9,199,high
899,9,201,batting
907,9,202,average
916,9,204,including
930,9,206,hits
936,9,208,led
944,9,210,American
953,9,211,League
968,9,214,stolen
975,9,215,bases
986,9,218,posted
993,9,219,double
1000,9,220,digits
1010,9,222,doubles
1024,9,227,triples
1041,9,232,home
1046,9,233,runs
1057,10,238,He
1060,10,239,led
1068,10,241,league
1078,10,243,stolen
1085,10,244,bases
1119,11,256,Boston
1126,11,257,traded
1144,11,261,Philadelphia
1157,11,262,Athletics
1180,11,266,season
1195,11,270,joined
1206,11,272,Cincinnati
1217,11,273,Reds
1232,12,278,In
1248,12,281,career
1256,12,283,Werber
1274,12,287,hitter
1289,12,290,home
1294,12,291,runs
1307,12,294,RBI
1320,12,297,games
1327,13,299,One
1343,13,303,aggressive
1354,13,304,baserunners
1380,13,309,probably
1398,13,312,aggressive
1417,13,315,Ben
1421,13,316,Chapman
1433,13,319,stole
1443,13,321,bases
1450,14,323,He
1457,14,325,inducted
1475,14,328,Cincinnati
1486,14,329,Reds
1491,14,330,Hall
1499,14,332,Fame
1514,15,337,His
1518,15,338,wife
1523,15,339,Kathryn
1532,15,341,Tat
1537,15,343,Werber
1544,15,344,died
1572,15,351,Werber
1588,15,354,married
1599,15,356,years
1606,16,358,Bill
1611,16,359,Werber
1622,16,361,says
1636,16,364,father
1652,16,368,cremated
1665,16,370,services
1689,16,375,open
1701,16,378,public
1717,16,382,held
1729,16,385,weekend
1740,16,387,January
1759,16,390,February
