char,sent_n,token_i,word
4,1,1,following
21,1,4,twelfth
33,1,6,final
39,1,7,edition
52,1,10,monthly
60,1,11,series
67,1,12,chronicling
93,1,16,presidential
106,1,17,election
116,2,19,It
119,2,20,features
128,2,21,original
137,2,22,material
146,2,23,compiled
170,2,26,previous
179,2,27,month
193,2,30,brief
199,2,31,mention
222,2,36,month
230,2,38,biggest
238,2,39,stories
248,3,42,In
256,3,44,month
264,3,46,edition
279,3,49,campaign
288,3,50,trail
297,3,53,fan
304,3,55,Wikinews
313,3,56,asks
320,3,58,critical
329,3,59,question
345,3,62,Second
352,3,63,presidential
365,3,64,debate
373,3,66,Gary
378,3,67,Johnson
386,3,68,discusses
396,3,69,Syria
406,3,71,foreign
414,3,72,intervention
432,3,74,Wikinews
452,3,78,candidates
478,3,82,final
484,3,83,plea
492,3,85,voters
499,3,86,ahead
512,3,89,November
523,3,91,election
