char,sent_n,token_i,word
0,1,0,Lloyd
6,1,1,Helferty
18,1,3,running
34,1,6,Green
40,1,7,Party
49,1,9,Ontario
64,1,12,Ontario
72,1,13,provincial
83,1,14,election
100,1,18,Thornhill
110,1,19,riding
118,2,21,Wikinews
128,3,23,Nick
133,3,24,Moreau
140,3,25,interviewed
170,3,29,values
182,3,32,experience
202,3,36,campaign
213,4,39,Stay
218,4,40,tuned
236,4,43,interviews
254,4,46,candidate
275,4,49,party
284,4,51,eligible
306,4,56,contacted
317,5,58,Expect
324,5,59,interviews
340,5,61,Liberals
350,5,63,Progressive
362,5,64,Conservatives
377,5,66,New
381,5,67,Democratic
392,5,68,Party
398,5,69,members
407,5,71,Ontario
415,5,72,Greens
434,5,77,members
451,5,80,Family
458,5,81,Coalition
469,5,83,Freedom
478,5,85,Communist
489,5,87,Libertarian
506,5,90,Confederation
523,5,92,Regions
531,5,93,parties
551,5,98,independents
