char,sent_n,token_i,word
0,1,0,Pakistan
11,1,2,military
24,1,4,said
38,1,7,soldiers
47,1,8,killed
61,1,10,militants
74,1,12,recent
81,1,13,operations
92,1,14,targeting
102,1,15,Taliban
110,1,16,insurgents
124,1,18,South
130,1,19,Waziristan
147,2,23,military
156,2,24,said
161,2,25,security
170,2,26,forces
177,2,27,battled
185,2,28,militants
198,2,30,Friday
213,2,33,fought
224,2,35,control
235,2,37,Makeen
246,2,40,area
251,2,41,considered
266,2,43,main
271,2,44,base
283,2,47,Pakistani
293,2,48,Taliban
307,3,52,military
316,3,53,statement
331,3,55,says
336,3,56,troops
343,3,57,battled
354,3,59,tighten
368,3,61,control
381,3,63,Sararogha
409,3,68,Taliban
417,3,69,stronghold
429,4,71,Five
434,4,72,Pakistani
444,4,73,soldiers
458,4,75,wounded
473,4,78,operations
491,5,83,fight
505,5,85,militancy
526,5,91,long
535,5,93,tough
541,5,94,battle
571,5,101,fight
581,5,103,extremists
605,5,107,extremist
615,5,108,mindset
628,6,111,adversary
646,6,114,battle
667,6,118,underestimated
684,6,121,Pakistani
694,6,122,President
704,6,123,Asif
709,6,124,Ali
713,6,125,Zardari
721,6,126,said
729,6,128,Friday
742,7,132,accounts
758,7,135,Pakistan
767,7,136,army
774,7,138,offensive
791,7,141,tribal
798,7,142,region
805,7,143,near
814,7,145,Afghan
821,7,146,border
832,7,148,difficult
845,7,150,verify
856,7,153,journalists
872,7,155,aid
876,7,156,workers
892,7,159,allowed
909,7,162,battle
916,7,163,zone
923,8,166,Pakistan
932,8,167,launched
944,8,169,offensive
966,8,172,Taliban
979,8,174,month
988,8,176,South
994,8,177,Waziristan
1009,8,180,area
1022,8,183,believed
1039,8,187,stronghold
1054,8,189,rebels
1076,8,194,government
1106,8,199,influence
1117,9,201,According
1134,9,204,Pakistani
1144,9,205,army
1150,9,207,hundreds
1162,9,209,militants
1177,9,211,killed
1194,9,214,operation
1208,9,216,launched
1226,9,220,Taliban
1234,9,221,denies
1245,9,223,claims
