char,sent_n,token_i,word
0,1,0,Pakistani
10,1,1,Prime
16,1,2,Minister
25,1,3,Nawaz
31,1,4,Sharif
42,1,6,today
48,1,7,announced
66,1,10,attend
73,1,11,Monday
82,1,13,swearing
94,1,16,ceremony
106,1,18,India
119,1,21,Prime
125,1,22,Minister
135,1,24,Narendra
144,1,25,Modi
150,2,27,In
157,2,29,history
168,2,31,India
174,2,33,Pakistan
183,2,34,bilateral
193,2,35,relations
208,2,38,leader
222,2,41,country
238,2,44,visited
250,2,46,swearing
262,2,49,ceremony
276,2,52,leader
321,2,62,countries
338,2,64,independent
353,3,68,It
359,3,70,good
364,3,71,news
375,3,74,Sharif
386,3,77,visiting
395,3,78,India
403,3,81,said
408,3,82,Raashid
416,3,83,Alvi
426,3,86,Indian
433,3,87,opposition
444,3,88,party
450,3,89,Indian
457,3,90,National
466,3,91,Congress
475,3,92,leader
484,3,95,It
493,3,98,opportunity
508,3,100,hold
513,3,101,meeting
534,3,105,important
544,3,106,issues
561,3,109,raised
570,4,112,Prakash
578,4,113,Javadekar
589,4,115,spokesperson
606,4,117,Modi
613,4,119,Bharatiya
623,4,120,Janata
630,4,121,Party
637,4,123,said
644,4,126,It
655,4,129,good
660,4,130,news
670,4,132,Nawaz
676,4,133,Sharif
687,4,135,accepted
696,4,136,Modi
703,4,138,invitation
715,5,140,This
725,5,142,mark
732,5,144,start
743,5,147,new
747,5,148,relationship
768,5,150,India
778,5,152,Pakistan
794,6,157,swearing
806,6,160,ceremony
824,6,164,held
832,6,166,May
846,6,170,Presidential
859,6,171,Palace
866,6,172,Rashtrapati
878,6,173,Bhavan
890,6,175,possibly
904,6,177,guests
911,6,178,expected
923,6,180,attendance
