char,sent_n,token_i,word
0,1,0,Nine
5,1,1,year
10,1,2,old
14,1,3,giant
20,1,4,panda
26,1,5,Yuan
31,1,6,Yuan
40,1,8,given
46,1,9,birth
57,1,12,cub
66,1,15,zoo
73,1,17,Taipei
81,1,19,Taiwan
91,1,21,Saturday
110,1,24,local
116,1,25,time
126,2,28,female
133,2,29,cub
141,2,31,born
146,2,32,weighing
159,2,34,ounces
170,2,36,measuring
184,2,38,inches
196,3,41,cub
200,3,42,wo
212,3,46,public
219,3,47,display
253,3,53,months
267,4,57,cub
272,4,59,born
287,4,63,artificial
298,4,64,insemination
311,4,65,given
320,4,67,March
336,4,71,intensive
346,4,72,care
365,4,76,week
373,4,78,life
379,5,80,It
390,5,83,seventh
398,5,84,attempt
422,5,90,year
427,5,91,old
431,5,92,Yuan
436,5,93,Yuan
441,5,94,pregnant
461,5,98,year
466,5,99,period
474,6,101,Yuan
479,6,102,Yuan
493,6,106,mate
499,6,108,Tuan
504,6,109,Tuan
517,6,113,gift
527,6,115,China
536,6,117,Taiwan
546,6,119,December
567,6,125,gesture
578,6,127,goodwill
594,6,130,historical
605,6,131,conflicts
627,6,134,island
637,6,136,Taiwan
648,6,138,mainland
657,6,139,China
672,7,143,pandas
684,7,145,failed
694,7,147,mate
699,7,148,successfully
720,7,150,natural
728,7,151,pregnancy
749,7,155,use
756,7,157,artificial
767,7,158,insemination
781,8,160,Yuan
786,8,161,Yuan
791,8,162,showed
798,8,163,signs
807,8,165,pregnancy
820,8,167,early
826,8,168,June
847,8,172,end
858,8,175,month
864,8,176,caretakers
875,8,177,believed
894,8,180,soon
904,8,182,birth
911,9,184,Caretakers
922,9,185,spent
932,9,187,night
945,9,190,zoo
950,9,192,keeping
960,9,194,constant
969,9,195,watch
980,9,197,Yuan
985,9,198,Yuan
1001,9,201,birth
1010,10,204,China
1016,10,205,usually
1024,10,206,requests
1038,10,208,cubs
1043,10,209,born
1057,10,212,countries
1070,10,214,returned
1082,10,216,China
1092,10,218,care
1098,11,220,China
1108,11,222,agreed
1118,11,224,allow
1128,11,226,newborn
1136,11,227,cub
1143,11,229,remain
1153,11,231,Taiwan
1161,12,233,Two
1165,12,234,Chinese
1173,12,235,panda
1179,12,236,specialists
1202,12,240,zoo
1206,12,241,helping
1217,12,243,care
1230,12,246,newborn
