char,sent_n,token_i,word
4,1,1,Supreme
12,1,2,Court
21,1,4,Pennsylvania
34,1,5,voted
40,1,6,Tuesday
51,1,8,send
68,1,12,state
76,1,14,lower
82,1,15,courts
91,1,17,case
105,1,20,decide
116,1,22,future
128,1,25,law
137,1,27,requires
146,1,28,voters
161,1,31,photo
167,1,32,ID
173,1,34,order
182,1,36,vote
194,1,39,November
203,1,40,elections
215,2,43,Supporters
233,2,46,law
237,2,47,claim
249,2,50,needed
259,2,52,prevent
267,2,53,voter
273,2,54,fraud
280,3,56,Critics
288,3,57,charge
303,3,60,voter
309,3,61,fraud
324,3,64,shown
338,3,67,real
343,3,68,reason
357,3,70,voter
363,3,71,ID
366,3,72,laws
378,3,75,disenfranchisement
400,3,77,minority
413,3,79,poor
418,3,80,voters
426,4,82,Pennsylvania
439,4,83,House
445,4,84,Majority
454,4,85,Leader
461,4,86,Mike
466,4,87,Turzai
473,4,88,told
482,4,90,fellow
489,4,91,Republicans
505,4,93,voter
511,4,94,ID
514,4,95,law
523,4,98,going
532,4,100,allow
538,4,101,Governor
547,4,102,Romney
557,4,104,win
565,4,106,state
574,4,108,Pennsylvania
594,5,113,decision
610,5,116,Pennsylvania
623,5,117,Supreme
631,5,118,Court
637,5,119,instructed
652,5,121,lower
658,5,122,court
667,5,124,consider
685,5,127,regardless
703,5,130,possible
712,5,131,constitutionality
737,5,134,law
748,5,137,long
753,5,138,term
769,5,143,impossible
783,5,145,implement
805,5,149,fall
812,5,151,election
829,5,153,disenfranchising
846,5,154,voters
877,5,161,required
886,5,162,ID
890,6,164,Two
905,6,168,Supreme
913,6,169,Court
919,6,170,justices
928,6,171,said
946,6,175,need
959,6,178,lower
965,6,179,court
974,6,181,consider
996,6,184,disenfranchisement
1021,6,186,obviously
1031,6,187,occur
1039,7,190,Daryl
1045,7,191,Metcalfe
1057,7,194,Republican
1068,7,195,state
1074,7,196,representative
1094,7,198,Butler
1101,7,199,County
1109,7,201,Pennsylvania
1127,7,204,sponsored
1141,7,206,voter
1147,7,207,ID
1150,7,208,bill
1155,7,209,said
1165,7,212,radio
1171,7,213,interview
1181,7,214,Wednesday
1202,7,217,unable
1216,7,220,identification
1231,7,221,documents
1246,7,224,lazy
1275,7,231,percent
1290,7,234,people
1306,7,237,living
1321,7,240,public
1328,7,241,dole
1334,7,243,living
1354,7,247,neighbor
1365,7,249,hard
1370,7,250,work
1389,7,255,lot
1396,7,257,people
1425,7,263,lazy
1470,7,274,ID
1478,7,276,need
1484,8,278,I
1486,8,279,mean
1494,8,281,individuals
1514,8,284,lazy
1524,8,287,state
1536,8,290,fix
1548,9,295,Laws
1561,9,298,sort
1574,9,301,Pennsylvania
1597,9,304,states
1609,9,306,led
1616,9,308,activists
1630,9,310,groups
1649,9,314,National
1658,9,315,Coalition
1671,9,317,Black
1677,9,318,Civic
1683,9,319,Participation
1697,9,320,running
1705,9,321,campaigns
1718,9,323,alert
1724,9,324,residents
1738,9,326,help
1756,9,330,relevant
1765,9,331,ID
1774,10,335,Pennsylvania
1787,10,336,courts
1801,10,339,decide
1811,10,341,October
