char,sent_n,token_i,word
0,1,0,Of
11,1,2,serving
19,1,3,members
34,1,6,United
41,1,7,States
48,1,8,military
67,1,11,families
76,1,12,surveyed
98,1,17,believe
106,1,18,reform
120,1,21,rules
129,1,23,gays
138,1,25,lesbians
147,1,26,serving
162,1,29,military
177,1,31,affect
184,1,32,morale
192,1,34,unit
197,1,35,cohesion
209,1,37,military
218,1,38,effectiveness
233,2,40,A
235,2,41,survey
242,2,42,conducted
259,2,45,Pentagon
272,2,47,concluded
291,2,51,believed
305,2,53,changing
318,2,55,law
335,2,59,negative
344,2,60,effect
356,3,63,report
368,3,65,noted
394,3,70,served
406,3,72,people
418,3,74,know
426,3,76,suspect
440,3,79,gay
449,3,81,found
455,3,82,unit
460,3,83,cohesion
481,3,88,problem
495,4,92,report
506,4,94,produced
518,4,96,Jeh
525,4,98,Johnson
534,4,100,chief
540,4,101,counsel
555,4,104,Pentagon
569,4,107,General
577,4,108,Carter
587,4,110,Ham
600,4,114,Army
605,4,115,commander
618,4,117,Europe
626,5,119,Opposition
640,5,121,reform
651,5,123,highest
667,5,125,troops
677,5,127,combat
684,5,128,units
700,5,131,members
715,5,134,United
722,5,135,States
729,5,136,Marine
736,5,137,Corps
761,5,145,oppose
768,5,146,changes
783,5,149,policy
790,5,150,respectively
804,6,152,Robert
811,6,153,Gates
822,6,156,defence
830,6,157,secretary
845,6,160,stated
861,6,163,survey
868,6,164,shows
879,6,166,reform
904,6,172,wrenching
915,6,174,traumatic
925,6,175,change
941,6,178,feared
953,6,181,asked
963,6,183,Senate
973,6,185,support
984,6,187,end
995,6,190,current
1003,6,191,policy
1016,7,195,current
1024,7,196,policy
1037,7,199,referred
1059,7,205,ask
1070,7,209,tell
1080,7,212,passed
1090,7,214,President
1100,7,215,Bill
1105,7,216,Clinton
1129,7,221,led
1140,7,224,discharge
1165,7,228,troops
1184,8,232,A
1191,8,234,study
1204,8,237,University
1218,8,239,California
1229,8,240,estimated
1248,8,243,cost
1256,8,245,enforcing
1270,8,247,policy
1280,8,249,approximately
1299,8,252,million
1308,8,254,including
1322,8,256,value
1331,8,258,military
1340,8,259,training
1357,8,262,lost
1369,8,265,member
1383,8,268,armed
1389,8,269,services
1401,8,271,sent
1406,8,272,home
1412,9,274,Most
1423,9,276,Western
1431,9,277,nations
1439,9,278,allow
1445,9,279,gay
1449,9,280,people
1459,9,282,serve
1465,9,283,openly
1479,9,286,military
1490,10,289,Democratic
1501,10,290,leaders
1509,10,291,including
1519,10,292,President
1529,10,293,Barack
1536,10,294,Obama
1542,10,295,support
1550,10,296,repeal
1561,10,298,hope
1569,10,300,pass
1588,10,304,Christmas
1598,10,305,break
1605,11,307,Former
1612,11,308,Republican
1623,11,309,presidential
1636,11,310,candidate
1646,11,311,John
1651,11,312,McCain
1658,11,313,believes
1677,11,316,scrutiny
1689,11,318,needed
1703,11,320,repeal
1717,11,322,war
1721,11,324,time
1731,12,327,authors
1746,12,330,report
1753,12,331,believe
1772,12,334,stating
1798,12,340,underestimate
1816,12,342,challenges
1830,12,344,implementing
1845,12,346,change
1859,12,349,law
1886,12,355,underestimate
1904,12,357,ability
1919,12,360,extraordinarily
1935,12,361,dedicated
1945,12,362,service
1953,12,363,men
1961,12,365,women
1970,12,367,adapt
1984,12,370,change
1995,12,372,continue
2007,12,374,provide
2019,12,376,nation
2035,12,379,military
2044,12,380,capability
2058,12,382,accomplish
2073,12,384,mission
