char,sent_n,token_i,word
0,1,0,In
7,1,2,latest
14,1,3,Newspoll
29,1,6,released
46,1,10,Australian
58,1,12,newspaper
68,2,13,Australian
79,2,14,Prime
85,2,15,Minister
94,2,16,John
99,2,17,Howard
115,2,20,favoured
131,2,23,majority
149,2,26,polled
163,2,29,leadership
174,2,30,tension
187,2,32,Deputy
194,2,33,PM
197,2,34,Peter
203,2,35,Costello
213,3,37,Mr
216,3,38,Howard
223,3,39,polled
234,3,42,support
254,3,48,April
261,3,50,compared
273,3,52,Mr
276,3,53,Costello
295,3,58,Down
308,3,62,April
316,4,65,Coalition
326,4,66,voters
333,4,67,polled
340,4,68,stronger
349,4,69,support
361,4,71,Howard
373,4,73,non
377,4,75,coalitoin
387,4,76,voters
403,4,81,Mr
406,4,82,Howard
423,4,87,Mr
426,4,88,Costello
437,5,91,Mr
440,5,92,Howard
447,5,93,leads
457,5,95,opposition
468,5,96,leader
475,5,97,Kim
479,5,98,Beazley
523,5,111,April
530,6,113,Nevertheless
547,6,115,Labor
553,6,116,Party
560,6,118,led
567,6,120,Mr
570,6,121,Beazley
583,6,124,ahead
596,6,127,Coalition
626,6,136,party
632,6,137,preferred
642,6,138,basis
648,6,139,indicating
666,6,142,Labor
676,6,144,win
683,6,146,election
699,6,148,Mr
702,6,149,Howard
709,6,150,choose
719,6,152,step
732,6,155,PM
738,6,157,Mr
741,6,158,Beazley
749,6,159,retains
770,6,166,lead
784,6,169,Deputy
791,6,170,PM
801,6,173,poll
809,7,176,In
821,7,179,poll
840,7,185,surveyed
849,7,186,believed
858,7,187,Mr
861,7,188,Howard
870,7,190,version
885,7,193,alleged
894,7,195,Leadership
905,7,196,deal
911,7,198,meeting
928,7,203,believe
936,7,204,Mr
939,7,205,Costello
