char,sent_n,token_i,word
0,1,0,Earlier
8,1,1,today
19,1,4,Vatican
27,1,5,announced
42,1,7,Pope
47,1,8,Benedict
56,1,9,XVI
60,1,10,plans
69,1,12,step
88,1,16,position
100,1,18,leader
114,1,21,Roman
120,1,22,Catholic
129,1,23,Church
136,1,24,effective
146,1,25,February
164,2,30,Pope
169,2,31,gave
174,2,32,reasons
187,2,35,statement
199,2,38,After
205,2,39,having
212,2,40,repeatedly
223,2,41,examined
235,2,43,conscience
253,2,45,God
258,2,47,I
265,2,49,come
277,2,52,certainty
295,2,55,strengths
316,2,60,advanced
325,2,61,age
337,2,65,longer
344,2,66,suited
357,2,69,adequate
366,2,70,exercise
382,2,73,Petrine
390,2,74,ministry
402,3,78,Reports
417,3,81,news
422,3,82,appeared
431,3,83,quickly
442,3,85,Spanish
454,3,87,French
461,3,88,language
470,3,89,television
486,4,92,Vatican
502,4,95,immediately
514,4,96,updated
528,4,98,website
545,4,101,news
551,5,103,There
567,5,107,press
573,5,108,conference
589,5,110,afternoon
605,5,112,additional
616,5,113,details
632,5,116,provided
647,6,120,news
652,6,121,quickly
669,6,124,trending
678,6,125,topic
687,6,127,Twitter
698,6,129,Spain
705,6,131,France
717,6,134,Italy
724,7,136,Within
733,7,138,half
738,7,139,hour
750,7,142,news
761,7,144,released
787,7,150,trending
796,7,151,topic
802,7,152,world
808,7,153,wide
815,8,156,Cardinal
824,8,157,Joseph
831,8,158,Ratzinger
848,8,160,Pope
853,8,161,aged
879,8,167,death
888,8,169,John
893,8,170,Paul
898,8,171,II
