char,sent_n,token_i,word
0,1,0,Pope
5,1,1,John
10,1,2,Paul
15,1,3,II
22,1,5,received
35,1,7,Albert
42,1,8,Edward
49,1,9,Ismail
56,1,10,Yelda
63,1,12,Iraq
70,1,14,ambassador
81,1,15,today
88,2,17,During
99,2,19,meeting
111,2,21,Pope
120,2,23,expressed
130,2,24,wishes
145,2,27,reconstruction
163,2,29,Iraq
174,2,33,democratic
185,2,34,state
197,2,37,tolerance
210,2,39,minorities
224,3,43,Iraq
232,3,45,currently
249,3,48,throes
263,3,51,difficult
273,3,52,process
284,3,54,transition
302,3,57,totalitarian
315,3,58,regime
329,3,61,formation
344,3,64,democratic
355,3,65,State
374,3,69,dignity
390,3,72,person
400,3,74,respected
418,3,77,citizens
427,3,78,enjoy
433,3,79,equal
439,3,80,rights
447,4,82,Authentic
457,4,83,democracy
470,4,85,possible
490,4,90,State
496,4,91,ruled
505,4,93,law
515,4,97,requires
534,4,101,necessary
544,4,102,conditions
558,4,104,present
574,4,107,advancement
598,4,111,individual
617,4,113,education
631,4,115,formation
644,4,117,true
649,4,118,ideals
677,4,124,creation
689,4,126,structures
703,4,128,participation
721,4,130,shared
728,4,131,responsibility
755,4,140,struggle
767,4,142,overcome
780,4,144,challenges
791,4,145,brought
808,4,148,poverty
817,4,150,unemployment
834,4,152,violence
851,4,155,currently
861,4,156,faced
870,4,158,Iraq
876,5,160,May
885,5,162,government
896,5,163,work
901,5,164,untiringly
915,5,166,settle
922,5,167,disputes
935,5,169,conflicts
953,5,171,dialogue
966,5,173,negotiation
979,5,175,having
986,5,176,recourse
998,5,178,military
1007,5,179,force
1028,5,184,resort
1036,6,186,Accordingly
1055,6,190,essential
1074,6,193,State
1090,6,197,assistance
1108,6,200,International
1122,6,201,Community
1133,6,203,promote
1141,6,204,mutual
1148,6,205,understanding
1166,6,207,tolerance
1194,6,211,ethnic
1205,6,213,religious
1215,6,214,groups
1223,7,216,This
1233,7,218,enable
1244,7,220,people
1258,7,223,region
1268,7,225,create
1278,7,227,environment
1307,7,232,committed
1320,7,234,justice
1332,7,236,peace
1350,7,240,capable
1361,7,242,sustaining
1376,7,244,necessary
1386,7,245,economic
1395,7,246,growth
1406,7,248,development
1418,7,249,integral
1454,7,257,citizens
1471,7,260,country
