char,sent_n,token_i,word
0,1,0,Several
8,1,1,sources
16,1,2,report
23,1,3,Pope
28,1,4,John
33,1,5,Paul
38,1,6,II
50,1,10,receiving
60,1,11,nutrition
77,1,14,tube
82,1,15,inserted
103,1,18,nose
115,1,22,longer
132,1,25,tube
142,2,28,tube
151,2,30,inserted
160,2,31,shortly
178,2,34,pontiff
186,2,35,appeared
202,2,38,window
209,2,39,overlooking
225,2,41,Peter
233,2,43,Square
253,2,47,able
261,2,49,speak
275,2,51,words
287,3,55,tube
301,3,58,threaded
319,3,61,nose
328,3,63,throat
344,3,66,stomach
353,4,68,A
355,4,69,surgically
366,4,70,implanted
376,4,71,tube
390,4,74,considered
408,4,77,time
425,4,82,deemed
432,4,83,excessively
444,4,84,invasive
453,4,85,according
470,4,88,Barbara
478,4,89,Paris
485,4,91,director
497,4,93,geriatrics
511,4,95,Maimonides
522,4,96,Medical
530,4,97,Center
540,4,99,New
544,4,100,York
551,5,103,There
561,5,105,reports
573,5,107,pontiff
587,5,110,severe
594,5,111,urinary
602,5,112,tract
608,5,113,infection
623,6,116,infection
633,6,117,caused
642,6,119,severe
649,6,120,fever
661,6,122,developed
678,6,125,medical
686,6,126,crisis
694,7,128,He
706,7,131,treated
717,7,133,antibiotics
737,7,136,recently
746,7,137,suffered
760,7,139,heart
766,7,140,failure
780,7,143,significant
792,7,144,reduction
805,7,146,kidney
812,7,147,function
822,8,149,According
839,8,152,Vatican
854,8,156,currently
865,8,158,lucid
873,8,161,breathing
883,8,162,shallowly
898,8,165,surrounded
920,8,169,aides
932,9,173,Pope
939,9,175,condition
953,9,177,led
965,9,180,pray
977,9,183,Catholics
991,9,185,non
995,9,187,Catholics
1006,10,189,A
1008,10,190,large
1014,10,191,number
1024,10,193,people
1035,10,195,outside
1047,10,197,papal
1053,10,198,apartment
1070,10,201,Vatican
1078,10,202,City
1084,11,204,Many
1089,11,205,people
1106,11,208,come
1114,11,210,pray
1126,11,213,Patrick
1136,11,215,Cathedral
1149,11,217,New
1153,11,218,York
1158,11,219,City
1169,12,223,ailing
1176,12,224,Pope
1186,12,226,suffers
1199,12,228,Parkinson
1211,12,230,disease
1226,12,233,makes
1235,12,235,difficult
1256,12,239,talk
1267,12,241,knee
1276,12,243,hip
1280,12,244,ailments
1293,12,246,taking
1310,12,249,toll
1322,12,252,mobility
1336,13,255,series
1346,13,257,new
1350,13,258,ailments
1359,13,259,follows
1371,13,261,breathing
1381,13,262,tube
1386,13,263,insertion
1406,13,267,month
1414,13,269,time
