char,sent_n,token_i,word
0,1,0,Porfirio
9,1,1,Lobo
17,1,4,wealthy
25,1,5,rancher
38,1,8,won
46,1,10,presidential
59,1,11,election
71,1,13,Honduras
99,1,20,ballots
107,1,21,cast
113,1,23,according
126,1,25,results
135,2,27,Election
144,2,28,officials
158,2,30,voter
164,2,31,turnout
176,2,33,high
185,2,36,spite
204,2,41,ousted
211,2,42,President
221,2,43,Manuel
228,2,44,Zelaya
238,2,46,boycott
250,2,48,poll
256,3,50,Lobo
261,3,51,declared
270,3,52,victory
284,3,54,election
293,3,55,results
301,3,56,showed
310,3,58,broad
316,3,59,lead
329,3,62,candidate
348,3,65,opposition
359,3,66,National
368,3,67,Party
376,4,70,Speaking
390,4,73,rally
396,4,74,late
401,4,75,Sunday
409,4,77,Lobo
414,4,78,told
419,4,79,supporters
438,4,82,work
446,4,84,improve
454,4,85,security
464,4,87,create
471,4,88,new
475,4,89,jobs
484,4,91,restore
492,4,92,international
506,4,93,ties
512,5,95,Lobo
517,5,96,noted
531,5,99,wants
540,5,101,bring
552,5,103,profound
561,5,104,changes
579,5,107,enable
586,5,108,Honduras
598,5,110,return
612,5,113,place
630,5,117,years
636,5,118,ago
648,5,121,Zelaya
655,5,122,took
660,5,123,office
674,6,128,people
695,6,132,defeated
725,6,138,forward
734,7,140,Today
745,7,142,demonstrated
765,7,145,world
779,7,147,test
793,7,150,abilities
807,7,152,determination
823,7,155,said
828,7,156,Lobo
840,7,159,acceptance
851,7,160,speech
860,8,163,Election
869,8,164,officials
879,8,165,said
897,8,170,voters
904,8,171,took
921,8,175,vote
933,8,178,eclipsed
942,8,179,turnout
950,8,180,figures
972,8,184,election
986,9,187,official
995,9,188,numbers
1003,9,189,contradicted
1016,9,190,earlier
1024,9,191,claims
1036,9,193,Zelaya
1048,9,196,said
1057,9,198,supporters
1068,9,199,estimated
1093,9,203,half
1101,9,205,registered
1112,9,206,voters
1119,9,207,took
1135,10,212,ousted
1142,10,213,leader
1149,10,214,called
1159,10,216,voters
1169,10,218,boycott
1181,10,220,election
1191,10,222,saying
1202,10,224,de
1205,10,225,facto
1211,10,226,government
1225,10,228,illegitimate
1239,11,230,Zelaya
1255,11,233,living
1262,11,234,inside
1273,11,236,Brazilian
1283,11,237,embassy
1294,11,239,Honduran
1303,11,240,officials
1313,11,241,seek
1321,11,243,arrest
1335,11,246,charges
1346,11,248,abuse
1355,11,250,power
1365,11,252,treason
1376,12,256,We
1379,12,257,took
1386,12,259,sample
1400,12,262,polls
1414,12,265,rate
1422,12,267,abstentions
1450,12,272,cent
1463,12,275,cases
1471,12,278,Zelaya
1478,12,279,commented
1495,12,282,Al
1498,12,283,Jazeera
1506,12,284,news
1511,12,285,agency
1520,13,288,This
1525,13,289,means
1535,13,291,election
1548,13,293,low
1552,13,294,turnout
1567,13,297,means
1584,13,301,enjoy
1594,13,303,support
1609,13,306,majority
1625,13,309,Honduran
1634,13,310,people
