char,sent_n,token_i,word
0,1,0,A
2,1,1,major
8,1,2,security
17,1,3,hole
26,1,5,discovered
44,1,8,pseudo
51,1,10,random
58,1,11,number
65,1,12,generator
76,1,14,PRNG
89,1,18,Debian
96,1,19,version
107,1,21,OpenSSL
116,2,23,OpenSSL
148,2,30,cryptographic
162,2,31,software
177,2,34,allows
188,2,36,creation
200,2,38,secure
207,2,39,network
215,2,40,connections
236,2,43,protocols
246,2,44,called
253,2,45,SSL
261,2,47,TLS
266,3,49,It
272,3,51,included
289,3,54,popular
297,3,55,computer
306,3,56,programs
316,3,58,like
325,3,60,Mozilla
333,3,61,Firefox
341,3,62,web
345,3,63,browser
361,3,66,Apache
368,3,67,web
372,3,68,server
380,4,70,Debian
411,4,77,GNU
415,4,79,Linux
421,4,80,distributions
449,4,85,based
461,4,87,distributions
476,4,89,like
481,4,90,Ubuntu
492,4,92,Knoppix
505,5,95,problem
513,5,96,affects
529,5,99,Debian
536,5,101,based
542,5,102,distributions
574,5,107,create
581,5,108,cryptographic
595,5,109,keys
610,5,112,September
634,6,118,bug
642,6,120,discovered
656,6,122,Luciano
664,6,123,Bello
674,6,126,argentine
684,6,127,Debian
691,6,128,package
699,6,129,maintainer
719,6,133,announced
732,6,135,May
747,7,141,This
752,7,142,vulnerability
770,7,144,caused
784,7,147,removal
799,7,150,lines
808,7,152,code
822,7,155,original
831,7,156,version
846,7,159,OpenSSL
854,7,160,library
869,8,163,lines
888,8,167,gather
900,8,169,entropy
908,8,170,data
920,8,173,library
929,8,175,needed
939,8,177,seed
948,8,179,PRNG
961,8,182,create
968,8,183,private
976,8,184,keys
995,8,189,secure
1002,8,190,connections
1018,8,192,based
1025,9,194,Without
1038,9,196,entropy
1056,9,200,dynamic
1064,9,201,data
1082,9,205,PID
1093,9,208,software
1103,10,210,Under
1109,10,211,Linux
1119,10,213,PID
1132,10,217,number
1175,10,227,small
1181,10,228,range
1190,10,230,values
1208,10,234,seed
1217,10,236,PRNG
1231,10,239,cause
1241,10,241,generation
1255,10,243,predictable
1267,10,244,numbers
1276,11,246,Therefore
1290,11,248,key
1294,11,249,generated
1311,11,252,predictable
1341,11,257,possible
1350,11,258,keys
1361,11,261,given
1367,11,262,architecture
1384,11,264,key
1388,11,265,length
1404,11,269,secrecy
1419,11,272,network
1427,11,273,connections
1439,11,274,created
1458,11,277,keys
1466,11,279,fully
1472,11,280,compromised
1492,12,284,lines
1503,12,286,removed
1515,12,289,suggested
1533,12,293,audit
1539,12,294,tools
1546,12,296,Valgrind
1559,12,298,Purify
1575,12,302,find
1580,12,303,vulnerabilities
1603,12,306,software
1612,12,307,distributed
1627,12,309,Debian
1641,13,312,tools
1647,13,313,warned
1658,13,315,Debian
1665,13,316,maintainers
1687,13,319,data
1712,13,324,initialization
1733,13,327,normally
1746,13,329,lead
1756,13,332,security
1765,13,333,bug
1779,13,337,time
1799,13,342,case
1812,13,346,OpenSSL
1820,13,347,developers
1831,13,348,wrote
1840,13,350,March
1856,14,355,Anyway
1868,14,357,change
1879,14,359,erroneously
1891,14,360,applied
1902,14,362,September
1931,14,369,OpenSSL
1939,14,370,Debian
1946,14,371,version
1967,14,374,released
1983,14,377,public
1993,15,380,Even
2009,15,383,Debian
2016,15,384,maintainer
2027,15,385,responsible
2048,15,388,software
2057,15,389,released
2068,15,391,patch
2077,15,393,fix
2086,15,395,bug
2093,15,397,May
2110,15,403,impact
2124,15,406,severe
2132,16,408,In
2135,16,409,fact
2140,16,410,OpenSSL
2151,16,412,commonly
2168,16,415,software
2180,16,417,protect
2192,16,419,passwords
2206,16,422,offer
2212,16,423,privacy
2224,16,425,security
2234,17,427,Any
2238,17,428,private
2246,17,429,key
2250,17,430,created
2268,17,433,version
2279,17,435,OpenSSL
2290,17,437,weak
2307,17,441,replaced
2317,17,443,included
2330,17,445,session
2338,17,446,keys
2352,17,449,created
2374,17,453,temporary
2385,18,455,This
2390,18,456,means
2405,18,459,data
2410,18,460,encrypted
2431,18,463,keys
2443,18,466,decrypted
2463,18,469,big
2467,18,470,deal
2487,18,475,keys
2510,18,481,created
2526,18,485,version
2541,18,488,library
2553,18,490,affected
2563,18,492,like
2572,18,494,ones
2577,18,495,included
2595,18,498,operating
2605,18,499,systems
2615,19,502,For
2619,19,503,example
2631,19,505,web
2635,19,506,server
2642,19,507,running
2660,19,510,operating
2670,19,511,system
2681,19,513,use
2687,19,515,weak
2692,19,516,key
2696,19,517,created
2709,19,520,vulnerable
2720,19,521,Debian
2727,19,523,based
2733,19,524,system
2741,20,526,Any
2745,20,527,encrypted
2755,20,528,connection
2767,20,530,HTTPS
2782,20,534,web
2786,20,535,server
2793,20,536,established
2812,20,539,browser
2827,20,542,decrypted
2838,21,544,This
2860,21,549,problem
2872,21,551,sites
2883,21,553,requires
2894,21,555,secure
2901,21,556,connection
2913,21,558,like
2918,21,559,banks
2927,21,561,private
2935,21,562,web
2939,21,563,sites
2946,22,565,Also
2960,22,569,encrypted
2970,22,570,connection
2985,22,572,recorded
3001,22,575,past
3017,22,580,decrypted
3039,22,584,way
3045,23,587,Another
3061,23,589,problem
3080,23,593,network
3088,23,594,security
3097,23,595,software
3107,23,597,like
3112,23,598,OpenSSH
3124,23,600,OpenVPN
3150,23,606,encrypt
3162,23,608,traffic
3173,23,610,protect
3181,23,611,passwords
3195,23,613,grant
3205,23,615,access
3218,23,618,administrative
3233,23,619,console
3246,23,622,private
3254,23,623,network
3262,23,624,protected
3275,23,626,firewalls
3286,24,628,This
3295,24,630,allows
3302,24,631,hackers
3313,24,633,gain
3318,24,634,unwanted
3327,24,635,access
3337,24,637,private
3345,24,638,computers
3356,24,640,networks
3368,24,642,data
3373,24,643,traveled
3391,24,646,network
3414,24,652,affected
3423,24,653,version
3434,24,655,OpenSSL
3462,25,662,behavior
3478,25,665,applied
3493,25,668,software
3505,25,670,protocol
3519,25,672,use
3523,25,673,SSL
3528,25,675,like
3540,25,678,SSMTP
3547,25,680,FTPS
3568,25,686,weak
3573,25,687,key
3578,26,689,This
3590,26,692,case
3598,26,694,Tor
3603,26,696,software
3620,26,699,offer
3626,26,700,strong
3633,26,701,anonymity
3650,26,704,TCP
3654,26,706,IP
3689,26,715,nodes
3702,26,718,weak
3707,26,719,key
3712,27,721,With
3727,27,727,weak
3732,27,728,Tor
3736,27,729,nodes
3754,27,734,probability
3779,27,740,circa
3788,27,742,build
3796,27,744,circuit
3817,27,748,tree
3822,27,749,nodes
3828,27,750,weak
3834,27,752,resulting
3854,27,756,loss
3862,27,758,anonymity
3873,28,760,Also
3882,28,762,case
3899,28,766,weak
3904,28,767,node
3909,28,768,begin
3924,28,771,facilitate
3940,28,773,types
3949,28,775,attack
3963,28,778,anonymity
3978,29,781,Tor
3982,29,782,hidden
3989,29,783,services
4001,29,786,sort
4009,29,788,anonymous
4019,29,789,public
4026,29,790,servers
4039,29,793,affected
4053,30,796,However
4065,30,798,issue
4075,30,800,speedly
4083,30,801,addressed
4096,30,803,May
4120,31,811,problem
4133,31,813,interested
4144,31,814,anonymous
4154,31,815,remailers
4164,31,816,like
4169,31,817,Mixmaster
4183,31,819,Mixminion
4199,31,822,use
4203,31,823,OpenSSL
4214,31,825,create
4225,31,827,remailer
4234,31,828,keys
4247,31,831,servers
4263,31,834,nym
4267,31,835,keys
4280,31,838,clients
4289,32,840,Although
4298,32,841,currently
4320,32,845,official
4329,32,846,announcement
4356,32,851,remailer
4365,32,852,changed
4379,32,854,keys
4397,32,857,weak
