char,sent_n,token_i,word
78,2,10,Rooney
85,2,11,Tevez
91,3,12,Hargreaves
102,3,13,Fletcher
111,3,14,Ferdinand
121,3,15,Pique
127,3,16,Anderson
136,3,17,Giggs
142,3,18,Tevez
158,3,22,Aliadiere
168,3,23,Aliadiere
178,3,24,Hutchinson
189,3,25,Cattermole
200,3,26,Sanli
206,3,27,Lee
210,3,28,Rochemback
221,3,29,Cattermole
241,3,32,stadium
249,3,34,Old
253,3,35,Trafford
294,4,41,referee
302,5,43,A
304,5,44,Wiley
311,5,46,Manchester
322,5,47,United
329,5,48,beat
334,5,49,Middlesbrough
357,5,53,game
373,5,56,scored
385,5,58,goals
399,5,61,games
411,5,63,tied
427,5,67,old
431,5,68,record
439,6,70,It
452,6,75,sided
458,6,76,affair
468,6,78,Manchester
479,6,79,United
502,6,84,majority
514,6,86,possession
536,6,90,shots
545,6,92,target
554,7,95,Both
559,7,96,Manchester
570,7,97,United
581,7,99,Middlesbrough
604,7,102,week
629,7,107,eliminated
650,7,110,season
659,7,112,Carling
667,7,113,Cup
