char,sent_n,token_i,word
0,1,0,A
2,1,1,moderate
11,1,2,earthquake
22,1,3,struck
29,1,4,Baja
34,1,5,California
45,1,6,near
54,1,8,Mexico
61,1,10,United
68,1,11,States
75,1,12,Border
103,1,18,pacific
111,1,19,time
117,1,21,February
131,2,25,With
138,2,27,magnitude
160,2,32,quake
168,2,34,center
179,2,36,reported
213,2,42,towns
222,2,44,Mexicali
235,2,46,Tijuana
244,3,48,No
247,3,49,injuries
259,3,51,damage
270,3,53,reported
281,4,56,Director
293,4,58,civil
299,4,59,defense
310,4,61,Mexicali
320,4,63,Fire
325,4,64,Capt
331,4,66,Rene
336,4,67,Rosado
344,4,69,said
357,4,71,factories
377,4,74,cleared
388,4,76,workers
404,4,79,engineers
420,4,81,access
427,4,82,possible
436,4,83,damage
450,4,86,structures
462,5,88,Another
474,5,90,bridges
492,5,93,closed
507,5,96,cracks
523,5,99,examined
541,6,102,people
558,6,105,left
571,6,107,electricity
592,6,111,million
604,6,113,unable
614,6,115,use
624,6,117,cell
629,6,118,phones
643,7,122,initial
651,7,123,quake
661,7,125,followed
683,7,129,aftershocks
699,7,131,felt
706,7,134,pretty
713,7,135,widely
723,7,137,Southern
732,7,138,California
744,7,140,southwestern
757,7,141,Arizona
769,7,143,probably
778,7,144,northern
787,7,145,Mexico
796,7,148,said
801,7,149,Jessica
809,7,150,Sigala
819,7,153,geophysicist
841,7,156,United
848,7,157,States
855,7,158,Geological
866,7,159,Survey
874,7,161,USGS
