char,sent_n,token_i,word
0,1,0,A
2,1,1,camera
9,1,2,set
23,1,6,jungles
34,1,8,Malaysian
44,1,9,Borneo
54,1,11,Sabah
67,1,14,World
73,1,15,Wide
78,1,16,Fund
87,1,18,Nature
97,1,20,WWF
106,1,23,captured
130,1,28,time
138,1,31,Borneo
145,1,32,Rhino
154,1,34,videotape
167,2,38,This
172,2,39,astonishing
184,2,40,footage
192,2,41,captures
215,2,46,world
228,2,49,elusive
236,2,50,creatures
247,3,52,Tremendous
258,3,53,progress
284,3,58,recent
291,3,59,years
300,3,61,secure
311,3,63,rhino
319,3,65,habitat
344,3,70,needs
361,3,74,considering
378,3,76,species
400,3,80,disappear
425,3,85,years
433,3,88,said
438,3,89,President
452,3,91,CEO
463,3,94,World
469,3,95,Wildlife
478,3,96,Fund
488,3,99,press
494,3,100,release
503,3,102,Carter
510,3,103,Roberts
520,4,106,In
527,4,108,video
538,4,111,rhino
544,4,112,comes
561,4,116,jungle
568,4,117,brush
583,4,120,proceeds
595,4,122,sniff
605,4,124,camera
616,4,126,equipment
626,4,127,surrounding
646,5,131,video
657,5,133,shows
667,5,135,rhino
673,5,136,getting
683,5,138,bite
691,5,140,eat
697,6,143,It
703,6,145,estimated
749,6,155,rhinos
756,6,156,alive
769,6,159,planet
798,6,166,found
811,6,169,jungles
822,6,171,Sabah
832,6,174,better
839,6,175,known
853,6,179,Heart
862,6,181,Borneo
871,7,184,For
879,7,186,past
887,7,188,years
898,7,191,rhino
917,7,195,reported
943,7,199,Sabah
953,7,201,researchers
980,8,206,likely
988,8,208,extinct
1004,8,212,rest
1012,8,214,Malaysia
1023,9,217,Researchers
1044,9,220,poaching
1056,9,222,use
1064,9,224,rhino
1072,9,226,horn
1080,9,228,medicine
1093,9,230,encroachment
1117,9,233,habitats
1130,9,235,causing
1146,9,238,decline
1155,10,240,Researchers
1193,10,246,rhino
1205,10,249,isolated
1223,10,252,rest
1231,10,254,Malaysia
1255,10,259,rarely
1262,10,260,able
1270,10,262,breed
1292,11,268,rhino
1306,11,271,sensitive
1323,11,274,presence
1335,11,276,human
1341,11,277,beings
1349,12,279,Till
1380,12,287,rhino
1404,12,294,develop
1416,12,296,kind
1424,12,298,protection
1435,12,299,method
1443,12,301,I
1445,12,302,think
1455,12,304,rhinos
1467,12,306,survive
1488,12,310,years
1496,12,313,said
1503,12,315,project
1511,12,316,manager
1527,12,319,WWF
1535,12,321,elephants
1549,12,323,rhinos
1563,12,326,Borneo
1570,12,327,region
1578,12,329,Raymond
1586,12,330,Alfred
1595,13,333,In
1625,13,340,image
1635,13,342,captured
1651,13,345,rhino
