char,sent_n,token_i,word
0,1,0,Relics
7,1,1,dated
25,1,5,Qing
30,1,6,Dynasty
43,1,8,found
55,1,10,civil
61,1,11,servants
71,1,13,quarters
87,1,16,Rua
91,1,17,de
97,1,19,Belchior
106,1,20,Caneiro
114,1,21,adjacent
130,1,24,Ruins
143,1,27,Paul
151,1,29,Macau
160,1,31,archaeological
175,1,32,teams
188,1,35,Chinese
196,1,36,Academy
207,1,38,Social
214,1,39,Sciences
225,2,42,Since
231,2,43,St
234,2,44,Paul
241,2,46,College
252,2,48,believed
274,2,52,located
294,2,55,quarters
308,2,58,Macau
314,2,59,government
330,2,61,demolish
347,2,64,order
356,2,66,cope
370,2,69,experts
379,2,71,findings
395,2,74,Ruins
408,2,77,Paul
422,3,81,blocks
429,3,82,closer
443,3,85,Ruins
456,3,88,Paul
466,3,90,demolished
480,3,92,March
494,3,95,room
507,3,98,archaeological
522,3,99,project
536,4,103,relics
543,4,104,included
552,4,105,Chinese
560,4,107,styled
567,4,108,porcelain
577,4,109,tiles
584,4,111,eave
589,4,112,tiles
596,4,114,potteries
610,4,116,iron
615,4,117,artillery
625,4,118,shells
633,5,120,Furthermore
659,5,126,ancient
667,5,127,wall
675,5,129,found
686,5,132,nearby
693,5,133,construction
706,5,134,site
717,6,138,walls
727,6,140,confirmed
740,6,142,parts
753,6,145,Ruins
766,6,148,Paul
782,6,152,match
792,6,154,maps
803,6,157,dated
839,7,167,By
842,7,168,examining
856,7,170,walls
869,7,174,proved
885,7,177,wall
894,7,179,constructed
923,7,184,layers
933,7,186,stone
945,7,189,layers
955,7,191,blue
960,7,192,bricks
994,7,201,rammed
1001,7,202,earth
1012,7,204,measuring
1035,7,208,centimeters
1047,7,209,thick
1060,8,213,remaining
1074,8,215,buildings
1092,8,218,demolished
1108,8,220,week
1125,8,223,investigation
