char,sent_n,token_i,word
0,1,0,Exit
5,1,1,polls
14,1,3,Bolivia
22,1,4,indicate
36,1,6,President
46,1,7,Evo
50,1,8,Morales
62,1,10,earned
71,1,12,second
78,1,13,term
89,1,15,winning
100,1,18,election
112,1,20,Sunday
121,2,23,Bolivian
130,2,24,media
136,2,25,report
152,2,28,president
162,2,29,gained
186,2,36,points
193,2,37,ahead
206,2,40,closest
214,2,41,challenger
233,2,44,governor
242,2,45,Manfred
250,2,46,Reyes
259,3,50,This
264,3,51,process
275,3,53,change
286,3,55,prevailed
298,3,58,Morales
306,3,59,said
318,3,62,balcony
333,3,65,presidential
346,3,66,residence
357,3,68,addressing
368,3,69,supporters
381,4,72,Morales
399,4,75,elected
426,4,81,South
432,4,82,American
441,4,83,country
457,4,86,indigenous
468,4,87,president
479,5,89,Analysts
496,5,92,victory
504,5,93,means
518,5,96,likely
525,5,97,continue
534,5,98,reforms
542,5,99,aimed
551,5,101,greater
559,5,102,government
570,5,103,control
587,5,106,economy
599,5,108,social
606,5,109,spending
615,5,110,programs
632,5,113,poor
640,6,116,Bolivia
650,6,118,voters
662,6,120,chose
670,6,122,new
674,6,123,Congress
689,6,126,polls
695,6,127,showing
707,6,129,president
719,6,131,Movement
728,6,132,Toward
735,6,133,Socialism
745,6,134,party
756,6,136,ahead
763,6,138,securing
782,6,142,thirds
796,6,145,seats
