char,sent_n,token_i,word
0,1,0,France
11,1,2,won
24,1,5,RBS
28,1,6,Six
32,1,7,Nations
40,1,8,Championship
53,1,9,today
60,1,11,following
76,1,13,victory
89,1,15,Scotland
105,1,18,Stade
111,1,19,de
114,1,20,France
122,1,22,Saint
128,1,24,Denis
135,2,26,Earlier
150,2,29,day
155,2,31,Ireland
163,2,32,beat
168,2,33,Italy
181,2,36,Stadio
188,2,37,Flaminio
198,2,39,Rome
209,2,43,following
223,2,45,France
230,2,47,Scotland
239,2,48,match
246,2,50,Wales
252,2,51,beat
257,2,52,England
272,2,55,Millennium
283,2,56,Stadium
292,2,58,Cardiff
