char,sent_n,token_i,word
0,1,0,Media
6,1,1,magnate
14,1,2,Rupert
21,1,3,Murdoch
30,1,5,managing
39,1,6,director
56,1,9,largest
64,1,10,shareholder
79,1,12,News
84,1,13,Corporation
97,1,15,claimed
114,1,18,UK
117,1,19,Prime
123,1,20,Minister
132,1,21,Tony
137,1,22,Blair
143,1,23,offered
155,1,25,opinions
174,1,28,BBC
183,1,31,private
191,1,32,conversation
214,2,36,According
227,2,38,Murdoch
236,2,40,Blair
242,2,41,views
248,2,42,BBC
252,2,43,World
258,2,44,Service
266,2,45,broadcasts
280,2,47,portraying
291,2,48,America
304,2,51,negative
313,2,52,light
324,2,55,accusing
339,2,57,coverage
351,2,59,Hurricane
361,2,60,Katrina
384,2,65,political
394,2,66,statements
407,3,69,Murdoch
418,3,72,long
423,3,74,time
428,3,75,critic
442,3,78,BBC
447,3,80,apparently
458,3,81,revealed
467,3,82,details
482,3,85,conversation
504,3,88,Prime
510,3,89,Minister
528,3,92,session
543,3,95,Clinton
551,3,96,Global
558,3,97,Initiative
572,3,99,New
576,3,100,York
582,4,102,Murdoch
592,4,104,News
603,4,106,owns
608,4,107,Fox
612,4,108,News
621,4,110,Sky
625,4,111,News
636,4,114,BBC
640,4,115,competitors
