char,sent_n,token_i,word
4,1,1,Saskatchewan
17,1,2,Roughriders
34,1,4,won
47,1,7,Grey
52,1,8,Cup
59,1,10,Toronto
68,1,12,Canada
78,1,14,Sunday
91,1,16,defeating
105,1,18,Winnipeg
114,1,19,Blue
119,1,20,Bombers
138,1,26,score
145,2,28,Saskatchewan
163,2,30,won
171,2,32,Cup
199,2,39,appearance
217,2,42,championship
230,2,43,game
259,2,49,Toronto
267,2,50,Argonauts
283,3,54,Canadian
292,3,55,Football
301,3,56,League
309,3,58,CFL
314,3,60,championship
327,3,61,game
336,3,63,held
344,3,65,Toronto
354,3,67,Rogers
361,3,68,Centre
377,3,71,crowd
394,4,75,This
412,4,79,time
427,4,82,western
435,4,83,Canadian
444,4,84,teams
455,4,86,met
464,4,89,Grey
469,4,90,Cup
473,4,91,final
480,5,93,Despite
488,5,94,Winnipeg
499,5,96,lead
531,5,102,quarters
541,5,104,Saskatchewan
556,5,106,offence
564,5,107,proved
575,5,109,strong
590,5,112,Blue
595,5,113,Bombers
610,5,116,end
616,6,119,A
618,6,120,half
623,6,122,time
628,6,123,performance
643,6,125,rock
648,6,126,musician
657,6,127,Lenny
663,6,128,Kravitz
671,6,129,included
684,6,131,song
690,6,133,American
699,6,134,Woman
707,6,137,originally
718,6,138,performed
731,6,140,Winnipeg
740,6,141,band
749,7,143,Guess
755,7,144,Who
761,8,147,On
764,8,148,Thursday
774,8,150,Saskatchewan
787,8,151,quarterback
799,8,152,Kerry
805,8,153,Joseph
816,8,155,declared
830,8,157,year
837,8,159,CFL
841,8,160,Outstanding
853,8,161,Player
865,8,164,player
872,8,165,awards
879,8,166,ceremony
891,8,168,Toronto
905,9,172,Cup
912,9,174,named
924,9,176,Earl
929,9,177,Grey
938,9,179,donated
950,9,181,trophy
960,9,183,honour
967,9,184,Canada
981,9,187,successful
992,9,188,amateur
1000,9,189,rugby
1006,9,190,team
1012,10,192,By
1019,10,194,time
1028,10,196,Canadian
1037,10,197,Football
1046,10,198,League
1057,10,200,formed
1077,10,205,Cup
1096,10,209,prize
1106,10,211,professional
1119,10,212,football
1131,10,214,Canada
1140,11,217,Next
1145,11,218,year
1152,11,220,CFL
1156,11,221,championship
1169,11,222,game
1177,11,224,scheduled
1190,11,226,Montreal
1201,11,228,Olympic
1209,11,229,Stadium
