char,sent_n,token_i,word
0,1,0,Belarusian
11,1,1,Prime
17,1,2,Minister
26,1,3,Sergei
33,1,4,Sidorsky
51,1,7,sacked
61,1,9,President
71,1,10,Alexander
81,1,11,Lukashenko
100,1,14,cabinet
108,1,15,reshuffle
118,1,16,following
133,1,18,week
140,1,20,disputed
149,1,21,Presidential
162,1,22,election
172,2,25,His
176,2,26,successor
189,2,28,Mikhail
197,2,29,Myasnikovich
220,2,33,Deputy
227,2,34,Prime
233,2,35,Minister
245,2,37,Belarus
273,3,44,Sidorsky
290,3,47,Prime
296,3,48,Minister
308,3,50,Belarus
322,3,52,July
347,3,58,appointed
360,3,60,President
370,3,61,Lukashenko
382,4,63,He
388,4,65,Belarus
397,4,67,longest
405,4,68,serving
413,4,69,Prime
419,4,70,Minister
429,4,72,having
436,4,73,served
448,4,75,seven
454,4,76,years
461,5,78,Before
480,5,82,Deputy
487,5,83,Prime
493,5,84,Minister
523,6,91,This
528,6,92,comes
536,6,94,week
551,6,97,Presidential
564,6,98,election
579,6,100,saw
590,6,104,election
606,6,107,incumbent
616,6,108,Alexander
626,6,109,Lukashenko
645,6,112,ruled
651,6,113,Belarus
669,6,116,establishment
690,6,119,office
706,7,123,Foreign
714,7,124,observers
724,7,125,called
735,7,127,election
746,7,130,fraudulent
763,7,134,unfair
772,8,137,Following
786,8,139,elections
800,8,142,estimated
814,8,144,people
826,8,146,detained
842,8,149,government
854,8,151,including
867,8,153,Russian
875,8,154,nationals
