char,sent_n,token_i,word
5,1,2,Return
15,1,4,Flight
23,1,6,mission
39,1,9,Space
45,1,10,Shuttle
53,1,11,Discovery
72,1,15,ahead
78,1,16,later
84,1,17,today
90,1,18,despite
101,1,20,accident
117,1,23,launch
124,1,24,pad
128,1,25,yesterday
140,2,28,At
150,2,31,pm
153,2,32,EDT
157,2,33,Tuesday
172,2,36,Discovery
184,2,38,cockpit
192,2,39,window
199,2,40,covers
213,2,42,detached
226,2,44,fell
237,2,46,feet
247,3,49,falling
255,3,50,cover
261,3,51,struck
272,3,53,left
277,3,54,Orbital
285,3,55,Maneuvering
297,3,56,System
304,3,57,pod
309,3,59,situated
337,3,65,tail
342,3,66,fin
348,3,69,damaging
365,3,71,thermal
373,3,72,protection
384,3,73,tiles
395,4,76,tiles
401,4,77,provide
409,4,78,vital
415,4,79,protection
433,4,82,Orbiter
447,4,85,makes
457,4,87,fiery
466,4,90,entry
475,4,92,Earth
483,4,94,atmosphere
496,5,97,A
498,5,98,replacement
510,5,99,panel
520,5,101,fitted
543,5,106,hour
563,5,111,effect
578,5,114,delay
587,5,116,rolling
604,5,119,pad
610,5,121,Rotating
619,5,122,Service
627,5,123,Structure
639,6,126,This
662,6,131,issue
675,6,134,build
687,6,137,today
695,6,139,launch
713,6,143,Shuttle
721,6,144,flight
738,6,147,Columbia
747,6,148,Orbiter
755,6,149,broke
774,6,154,entry
783,6,156,February
798,7,159,All
802,7,160,crew
812,7,162,lost
825,7,165,incident
850,7,170,blamed
860,7,172,damage
872,7,175,wing
877,7,176,thermal
885,7,177,protection
896,7,178,system
903,7,179,panel
910,7,181,caused
922,7,184,block
931,7,186,fuel
936,7,187,tank
941,7,188,insulation
964,7,191,detached
977,7,193,hit
985,7,195,Orbiter
1010,7,199,moments
1021,7,201,flight
1030,8,204,Discovery
1069,8,212,EDT
1073,8,213,today
1084,9,216,chance
1096,9,219,weather
1104,9,221,related
1112,9,222,delay
1125,9,225,launch
1136,9,227,increased
1166,9,235,possibility
1181,9,237,thunderstorms
1202,9,240,area
