char,sent_n,token_i,word
0,1,0,Roseanne
9,1,1,Barr
15,1,3,star
27,1,6,popular
40,1,9,sitcom
47,1,10,Roseanne
57,1,12,won
65,1,14,presidential
78,1,15,nomination
96,1,18,California
107,1,20,based
113,1,21,Peace
123,1,23,Freedom
131,1,24,Party
140,1,26,Saturday
150,1,28,guaranteeing
167,1,30,ballot
174,1,31,access
184,1,33,California
205,1,37,populous
219,1,39,state
226,2,41,Anti
231,2,43,war
235,2,44,activist
244,2,45,Cindy
250,2,46,Sheehan
261,2,48,California
276,2,50,selected
292,2,53,running
300,2,54,mate
307,3,57,Barr
318,3,59,announced
332,3,61,intentions
346,3,63,run
354,3,65,president
374,3,68,August
386,3,70,appearance
404,3,73,Tonight
412,3,74,Show
422,3,76,Jay
426,3,77,Leno
432,4,79,On
445,4,83,Barr
450,4,84,told
455,4,85,Leno
470,4,88,run
484,4,91,banner
499,4,95,Green
505,4,96,Tea
509,4,97,Party
519,4,101,political
529,4,102,entity
540,4,104,created
553,4,106,combined
562,4,107,elements
578,4,110,Green
588,4,112,Tea
592,4,113,Party
598,4,114,movements
609,5,116,She
613,5,117,named
623,5,119,American
632,5,120,taxpayer
648,5,123,running
656,5,124,mate
666,5,127,said
681,5,130,act
688,5,132,president
711,5,136,legalization
727,5,138,marijuana
738,6,140,Several
746,6,141,months
753,6,142,later
760,6,144,Barr
765,6,145,announced
790,6,149,instead
798,6,150,seek
807,6,152,Green
813,6,153,Party
821,6,155,presidential
834,6,156,nomination
846,7,158,After
852,7,159,losing
866,7,162,Green
872,7,163,National
881,7,164,Convention
897,7,166,month
906,7,168,physician
916,7,169,Jill
921,7,170,Stein
928,7,172,Barr
933,7,173,searched
952,7,176,ways
960,7,178,continue
973,7,180,campaign
986,7,182,settled
997,7,184,seeking
1009,7,186,Peace
1019,7,188,Freedom
1027,7,189,Party
1033,7,190,nomination
1047,8,193,multiple
1056,8,194,image
1065,8,197,align
1073,8,199,left
1081,8,202,direction
1093,8,204,horizontal
1116,8,209,Roseanne
1125,8,210,barr
1172,8,221,Roseanne
1181,8,222,Barr
1199,10,227,Cindy
1205,10,228,Sheehan
1256,12,239,Cindy
1262,12,240,Sheehan
1273,13,242,At
1280,13,244,convention
1292,13,246,Socialist
1302,13,247,Party
1308,13,248,USA
1312,13,249,presidential
1325,13,250,nominee
1333,13,251,Stewart
1341,13,252,Alexander
1355,13,254,Freedom
1363,13,255,Socialist
1373,13,256,Party
1379,13,257,presidential
1392,13,258,nominee
1400,13,259,Stephen
1408,13,260,Durham
1429,13,264,opponents
1443,13,266,Barr
1449,14,268,Justice
1457,14,269,Party
1463,14,270,presidential
1476,14,271,nominee
1484,14,272,Rocky
1490,14,273,Anderson
1504,14,276,won
1512,14,278,California
1523,14,279,Peace
1533,14,281,Freedom
1541,14,282,Party
1547,14,283,presidential
1560,14,284,primary
1571,14,286,June
1577,14,288,withdrew
1595,14,291,race
1608,14,293,days
1613,14,294,prior
1622,14,296,avoid
1633,14,298,Uncovered
1643,14,299,Politics
1652,14,300,called
1663,14,303,embarrassingly
1678,14,304,lopsided
1687,14,305,defeat
1696,14,308,Party
1706,14,310,Socialism
1720,14,312,Liberation
1731,14,313,presidential
1744,14,314,nominee
1752,14,315,Peta
1757,14,316,Lindsay
1765,14,317,dropped
1788,14,321,convention
1799,14,322,vote
1807,14,324,endorse
1815,14,325,Barr
1822,15,328,In
1829,15,330,initial
1837,15,331,vote
1843,15,333,Barr
1848,15,334,failed
1858,15,336,win
1865,15,338,outright
1874,15,339,majority
1884,16,341,She
1888,16,342,received
1901,16,344,support
1915,16,347,delegates
1935,16,351,went
1944,16,353,Durham
1955,16,356,supported
1965,16,357,Alexander
1985,16,361,abstained
2000,16,363,voting
2008,17,365,Per
2012,17,366,party
2018,17,367,rules
2024,17,368,requiring
2034,17,369,majority
2043,17,370,support
2054,17,373,second
2061,17,374,vote
2070,17,376,held
2084,17,379,Barr
2093,17,381,receive
2103,17,383,majority
2120,17,386,delegates
2130,17,387,versus
2144,17,390,Durham
2160,17,394,Alexander
2180,17,398,abstaining
2193,18,401,For
2201,18,403,vice
2206,18,404,presidential
2219,18,405,nomination
2231,18,407,Sheehan
2248,18,411,said
2263,18,414,accept
2273,18,416,Barr
2282,18,418,nominated
2293,18,420,won
2310,18,424,ballot
2325,18,427,votes
2342,18,430,abstaining
2354,19,432,Sheehan
