char,sent_n,token_i,word
0,1,0,Snow
5,1,1,fell
27,1,6,United
34,1,7,Kingdom
42,1,8,overnight
63,1,12,roads
75,1,14,closed
87,1,17,result
120,2,25,closed
135,2,28,directions
152,3,32,city
160,3,34,Bristol
172,3,36,subject
187,3,39,heaviest
196,3,40,snow
211,3,44,year
217,4,46,BBC
221,4,47,News
230,4,49,reported
252,4,54,inches
262,4,56,snow
272,4,58,fall
280,4,60,parts
289,4,62,Southern
298,4,63,England
307,5,65,Major
313,5,66,cities
320,5,67,including
330,5,68,London
342,5,70,hit
353,5,73,snow
360,6,76,A
362,6,77,Wikinews
371,6,78,reporter
380,6,79,noticed
391,6,81,approximately
411,6,83,local
417,6,84,time
429,6,87,UTC
445,6,91,appeared
463,6,95,significant
475,6,96,effect
489,6,99,traffic
502,6,102,result
516,6,105,snow
522,7,107,It
528,7,109,probable
562,7,115,majority
578,7,118,snow
599,7,122,cleared
610,7,124,melted
623,8,128,snow
628,8,129,continued
641,8,131,fall
652,8,133,mid
656,8,134,morning
680,8,139,South
689,8,141,England
706,8,144,melted
713,8,145,away
725,8,148,afternoon
736,9,150,In
739,9,151,Liverpool
750,9,153,North
756,9,154,West
761,9,155,England
773,9,157,Bristol
781,9,158,occasional
792,9,159,snow
797,9,160,flurries
806,9,161,occurred
830,9,165,early
836,9,166,afternoon
852,9,169,continued
865,9,171,Liverpool
887,9,174,afternoon
900,9,176,early
906,9,177,evening
