char,sent_n,token_i,word
11,1,2,party
20,1,4,apartheid
33,1,6,South
39,1,7,Africa
51,1,10,New
55,1,11,National
64,1,12,Party
71,1,14,NNP
81,1,18,finally
94,1,20,dissolved
109,1,23,vote
121,1,26,party
129,1,28,federal
137,1,29,council
148,1,31,April
167,2,37,vote
182,2,41,favor
206,2,48,abstentions
220,3,51,This
225,3,52,follows
235,3,54,decision
254,3,57,guidance
266,3,59,party
272,3,60,leader
279,3,61,Marthinus
289,3,62,van
293,3,63,Schalkwyk
308,3,65,year
316,3,67,join
321,3,68,forces
337,3,71,ruling
344,3,72,African
352,3,73,National
361,3,74,Congress
370,3,75,party
377,3,77,ANC
388,4,82,forerunner
406,4,85,NNP
415,4,88,National
424,4,89,Party
431,4,91,brought
439,4,92,development
456,4,95,section
467,4,97,South
473,4,98,Africa
489,4,101,brought
497,4,102,suffering
517,4,105,system
524,4,106,grounded
536,4,108,injustice
548,4,111,said
553,4,112,van
557,4,113,Schalkwyk
573,5,117,NNP
585,5,120,successor
602,5,123,National
611,5,124,Party
618,5,126,taking
629,5,128,new
649,5,133,distance
674,5,137,apartheid
684,5,138,past
694,6,141,National
703,6,142,Party
717,6,145,governing
727,6,146,party
736,6,148,South
742,6,149,Africa
772,6,156,promoted
781,6,157,policies
793,6,159,apartheid
811,6,162,promotion
824,6,164,Afrikaner
835,6,166,white
841,6,167,South
847,6,168,African
856,6,170,culture
866,7,173,Former
873,7,174,South
879,7,175,African
887,7,176,President
897,7,177,Frederik
906,7,178,Willem
913,7,179,de
916,7,180,Klerk
927,7,183,oversaw
939,7,185,end
946,7,187,apartheid
967,7,190,tenure
1004,7,198,white
1010,7,199,president
1021,7,201,called
1036,7,204,creation
1050,7,207,new
1054,7,208,party
1072,7,212,NNP
1078,7,214,place
1086,8,217,I
1088,8,218,think
1105,8,222,need
1113,8,224,establish
1145,8,229,place
1158,8,232,National
1167,8,233,Party
1178,8,236,hopefully
1200,8,239,historical
1211,8,240,baggage
1229,8,243,National
1238,8,244,Party
1244,8,245,carried
1267,8,249,played
1276,8,251,role
1288,8,254,demise
1297,8,257,said
1302,8,258,de
1305,8,259,Klerk
1313,9,262,Proportion
1331,9,265,NNP
1335,9,266,share
1348,9,269,national
1357,9,270,vote
1372,9,273,steadily
1381,9,274,dropping
1410,9,280,received
1432,9,285,National
1441,9,286,Party
1454,9,289,nation
1469,9,292,free
1474,9,293,multi
1480,9,295,racial
1487,9,296,elections
1515,9,303,received
1531,10,308,Other
1537,10,309,prominent
1547,10,310,South
1553,10,311,African
1561,10,312,parties
1569,10,313,include
1581,10,315,ANC
1586,10,317,African
1594,10,318,National
1603,10,319,Congress
1614,10,322,ruling
1621,10,323,party
1650,10,330,vote
1664,10,334,Democratic
1675,10,335,Alliance
1685,10,337,DA
1692,10,341,liberal
1700,10,342,party
1719,10,346,official
1728,10,347,opposition
1739,10,348,party
1752,10,351,ANC
1761,10,354,received
1788,10,360,vote
1794,11,362,Until
1806,11,364,dissolved
1820,11,366,NNP
1832,11,369,fifth
1838,11,370,largest
1846,11,371,party
1859,11,374,country
1869,12,377,Concerns
1888,12,380,expressed
1908,12,383,long
1913,12,385,term
1918,12,386,unchecked
1928,12,387,dominance
1945,12,390,ANC
1957,12,393,possibility
1973,12,395,corruption
1990,12,398,Business
1999,12,399,Monitor
2007,12,400,International
2021,12,401,expressing
2036,12,403,view
2048,12,407,While
2054,12,408,official
2063,12,409,graft
2072,12,411,low
2084,12,414,global
2095,12,416,African
2103,12,417,standards
2118,12,420,blurred
2126,12,422,line
2143,12,425,government
2162,12,428,dominant
2171,12,429,ANC
2175,12,430,party
2181,12,431,gives
2187,12,432,plenty
2197,12,434,scope
2207,12,437,abuses
2218,14,441,Transparency
2231,14,442,International
2245,14,443,ranks
2251,14,444,South
2257,14,445,Africa
2279,14,450,list
2287,14,452,corrupt
2295,14,453,countries
2317,14,457,Corrupt
2325,14,458,Perceptions
2337,14,459,Index
2344,14,461,ahead
2358,14,464,African
2366,14,465,nations
2385,14,468,Botswana
2405,14,473,Tunisia
2421,15,478,For
2425,15,479,comparison
2441,15,482,United
2448,15,483,States
2455,15,484,ranks
2481,15,490,list
