char,sent_n,token_i,word
0,1,0,In
7,1,2,wake
18,1,5,outbreak
30,1,7,typhoid
38,1,9,related
46,1,10,illnesses
59,1,12,Delmas
67,1,14,north
73,1,16,east
78,1,17,South
84,1,18,Africa
94,1,21,protest
107,1,23,forced
114,1,24,local
120,1,25,council
128,1,26,members
139,1,28,lock
155,1,30,indoors
172,1,33,broken
185,1,36,police
194,2,39,Rubber
201,2,40,bullets
225,2,45,effort
235,2,47,disperse
248,2,49,crowd
264,2,52,calling
280,2,55,town
287,2,57,council
298,2,59,resign
314,2,62,failure
325,2,64,provide
333,2,65,adequate
346,2,67,safe
351,2,68,services
361,3,70,Authorities
373,3,71,report
387,3,74,people
403,3,77,died
413,3,79,typhoid
444,3,85,stricken
459,3,87,August
470,4,90,However
481,4,93,report
495,4,96,Treatment
505,4,97,Action
512,4,98,Campaign
522,4,100,Tac
527,4,102,states
547,4,106,died
553,5,108,A
555,5,109,local
561,5,110,undertaker
576,5,112,quoted
586,5,114,saying
598,5,116,burials
611,5,118,increased
631,5,121,outbreak
652,5,125,buried
662,5,127,people
676,5,130,weekend
690,5,133,September
708,6,137,An
711,6,138,outbreak
727,6,141,current
735,6,142,magnitude
745,6,143,suggests
754,6,144,waterborne
765,6,145,spread
783,6,148,health
790,6,149,authorities
802,6,150,deny
807,6,151,finding
815,6,152,Salmonella
826,6,153,typhi
837,6,156,causative
847,6,157,agent
856,6,159,typhoid
864,6,160,fever
878,6,164,town
885,6,166,drinking
894,6,167,water
901,7,169,Sanitation
912,7,170,services
924,7,172,Delmas
940,7,176,km
948,7,178,Johannesburg
966,7,181,primitive
977,8,183,In
985,8,185,areas
991,8,186,human
997,8,187,waste
1006,8,189,transported
1021,8,191,open
1026,8,192,buckets
1044,8,196,believed
1067,8,200,contaminated
1084,8,202,water
1090,8,203,supply
