char,sent_n,token_i,word
5,1,1,Republican
16,1,2,presidential
29,1,3,hopefuls
42,1,5,spending
53,1,7,lot
60,1,9,time
68,1,11,South
74,1,12,Carolina
90,1,15,run
113,1,23,year
118,1,24,elections
129,2,26,All
137,2,28,interest
153,2,31,Palmetto
162,2,32,State
171,2,34,widely
178,2,35,viewed
192,2,38,light
205,2,41,place
214,2,43,significance
234,2,46,GOP
240,2,48,primary
248,2,49,calendar
265,3,53,John
270,3,54,McCain
278,3,56,R
280,3,58,AZ
284,3,60,leads
298,3,63,early
304,3,64,polls
311,4,66,And
323,4,69,leads
336,4,72,pack
344,4,74,handing
356,4,76,campaign
365,4,77,contributions
387,4,81,ticket
394,4,82,Republican
405,4,83,hopefuls
415,5,85,Since
425,5,87,beginning
442,5,90,year
453,5,93,McCain
462,5,95,Straight
471,5,96,Talk
476,5,97,America
484,5,98,PAC
492,5,100,contributed
516,5,104,South
522,5,105,Carolina
531,5,106,Republican
542,5,107,candidates
554,5,109,according
567,5,111,campaign
576,5,112,finance
584,5,113,reports
593,6,115,In
596,6,116,contrast
606,6,118,Massachusetts
620,6,119,Governor
629,6,120,Mitt
634,6,121,Romney
645,6,123,contributed
657,6,124,roughly
689,6,130,period
699,7,133,McCain
715,7,136,picked
730,7,139,influential
742,7,140,support
750,7,141,recently
760,8,143,Former
767,8,144,State
774,8,146,Attorney
783,8,147,General
791,8,148,Charlie
799,8,149,Condon
807,8,151,veteran
815,8,152,consultant
826,8,153,Bob
830,8,154,McAlister
845,8,157,current
853,8,158,Attorney
862,8,159,General
870,8,160,Henry
876,8,161,McMaster
894,8,164,assumed
902,8,165,leadership
913,8,166,roles
922,8,168,McCain
931,8,170,Straight
940,8,171,Talk
945,8,172,America
953,8,173,PAC
958,9,175,McCain
972,9,178,South
978,9,179,Carolina
992,9,181,week
1000,9,183,raise
1006,9,184,money
1016,9,186,Republican
1027,9,187,Adjutant
1036,9,188,General
1044,9,189,Stan
1049,9,190,Spears
1064,9,194,running
1076,9,196,reelection
1090,10,199,Former
1097,10,200,New
1101,10,201,York
1106,10,202,Mayor
1112,10,203,Rudy
1117,10,204,Giuliani
1131,10,206,visited
1139,10,207,South
1145,10,208,Carolina
1159,10,210,week
1165,11,212,Mayor
1171,11,213,Giuliani
1180,11,214,headlined
1192,11,216,fundraising
1204,11,217,dinner
1219,11,220,state
1225,11,221,Republican
1236,11,222,Party
1243,12,224,While
1249,12,225,Giuliani
1258,12,226,focused
1270,12,228,speech
1284,12,231,War
1291,12,233,Terror
1314,12,238,interested
1332,12,241,New
1336,12,242,Yorker
1345,12,244,position
1357,12,246,social
1364,12,247,issues
1374,13,250,Conservative
1387,13,251,reporter
1396,13,252,Byron
1402,13,253,York
1412,13,256,attended
1425,13,258,event
1432,13,260,quotes
1439,13,261,Palmetto
1449,13,263,Family
1456,13,264,Council
1464,13,265,President
1474,13,266,Oran
1479,13,267,Smith
1485,13,268,saying
1494,13,271,Gay
1498,13,272,rights
1506,13,274,abortion
1516,13,276,guns
1523,13,279,Giuliani
1535,13,281,pro
1539,13,283,gun
1543,13,284,control
1583,13,294,disqualifier
1632,13,303,absolutely
1643,13,304,insurmountable
1662,14,308,Representatives
1683,14,310,McCain
1691,14,312,Romney
1703,14,315,Giuliani
1714,14,317,camp
1733,14,321,man
1747,14,325,deciding
1779,14,331,run
1787,14,333,president
