char,sent_n,token_i,word
0,1,0,Space
6,1,1,Shuttle
14,1,2,Endeavour
24,1,3,landed
39,1,6,final
45,1,7,time
63,1,11,EDT
73,1,14,UTC
81,1,17,Cape
86,1,18,Canaveral
97,1,20,Florida
111,2,23,Wednesday
122,2,25,marking
134,2,27,end
145,2,30,nineteen
154,2,32,year
159,2,33,operational
171,2,34,career
183,3,37,mission
208,3,43,penultimate
227,3,46,NASA
232,3,47,Space
238,3,48,Shuttle
246,3,49,program
255,3,51,Atlantis
267,3,53,scheduled
280,3,55,fly
288,3,57,final
294,3,58,mission
305,3,60,July
317,4,64,commander
334,4,67,mission
343,4,69,Mark
348,4,70,Kelly
355,4,72,paid
360,4,73,tribute
375,4,76,spaceship
385,4,77,shortly
399,4,79,touchdown
410,4,81,saying
419,4,84,It
424,4,86,sad
439,4,90,land
457,4,94,time
484,4,101,great
490,4,102,legacy
499,5,105,Endeavour
509,5,106,launched
518,5,107,earlier
531,5,109,month
542,5,112,mission
553,5,114,carry
563,5,116,Alpha
569,5,117,Magnetic
578,5,118,Spectrometer
592,5,120,AMS
609,5,124,spare
615,5,125,parts
628,5,128,International
642,5,129,Space
648,5,130,Station
657,5,132,ISS
667,6,136,AMS
676,6,138,enable
683,6,139,scientists
697,6,141,examine
705,6,142,cosmic
712,6,143,rays
721,6,145,learn
742,6,149,history
757,6,152,universe
776,7,158,member
783,7,159,crew
799,7,162,consists
811,7,164,commander
821,7,165,Mark
826,7,166,Kelly
833,7,168,pilot
839,7,169,Greg
844,7,170,Johnson
857,7,173,mission
865,7,174,specialists
877,7,175,Michael
885,7,176,Fincke
893,7,178,Roberto
901,7,179,Vittori
910,7,181,Andrew
917,7,182,Feustel
930,7,185,Gregory
938,7,186,Chamitoff
949,8,188,European
958,8,189,Space
964,8,190,Agency
973,8,192,Vittori
984,8,194,scheduled
1009,8,199,non
1013,8,201,American
1025,8,203,fly
1029,8,204,aboard
1040,8,206,Shuttle
1050,9,209,Kelly
1063,9,212,husband
1079,9,215,Representative
1094,9,216,Gabrielle
1104,9,217,Giffords
1122,9,221,wounded
1139,9,224,January
1147,9,225,shooting
1159,9,227,Tucson
1167,9,229,Arizona
1176,10,231,Giffords
1185,10,232,watched
1197,10,234,launch
1213,10,237,Kennedy
1221,10,238,Space
1227,10,239,Center
1237,10,241,May
1253,10,246,asleep
1265,10,249,hospital
1285,10,252,early
1291,10,253,morning
1299,10,254,landing
1308,10,256,according
1321,10,258,Kelly
1333,11,262,end
1344,11,265,shuttle
1352,11,266,program
1360,11,267,comes
1372,11,269,NASA
1377,11,270,opted
1386,11,272,phase
1400,11,275,aging
1406,11,276,fleet
1431,11,282,use
1454,11,288,financial
1464,11,289,problems
1478,11,291,maintaining
1494,11,293,crafts
1502,12,295,According
1515,12,297,BBC
1519,12,298,News
1524,12,299,Online
1532,12,301,NASA
1537,12,302,thinks
1549,12,304,allowing
1558,12,305,private
1566,12,306,businesses
1580,12,308,win
1584,12,309,space
1590,12,310,transportation
1605,12,311,contracts
1620,12,313,generate
1636,12,315,revenue
1647,12,317,pay
1655,12,319,sending
1663,12,320,astronauts
1690,12,325,International
1704,12,326,Space
1710,12,327,Station
1721,13,330,In
1726,13,332,statement
1737,13,334,NASA
1742,13,335,Administrator
1756,13,336,Charles
1767,13,338,Bolden
1780,13,342,said
1787,13,345,We
1799,13,348,proud
1808,13,350,Endeavours
1819,13,351,legacy
1836,13,355,penultimate
1848,13,356,flight
1862,13,359,space
1868,13,360,shuttle
1876,13,361,program
1895,13,364,demonstrated
1912,13,366,amazing
1920,13,367,skill
1930,13,369,dedication
1948,13,372,astronauts
1967,13,375,entire
1974,13,376,workforce
1986,14,379,He
1989,14,380,stated
2004,14,383,NASA
2023,14,388,transition
2043,14,391,shuttle
2051,14,392,program
2066,14,395,commercial
2077,14,396,transportation
2101,14,401,crews
2111,14,403,cargo
2124,14,408,ability
2135,14,410,tackle
2142,14,411,big
2146,14,412,challenges
2157,14,413,remains
2165,14,414,steadfast
2184,14,417,ensure
2196,14,419,NASA
2201,14,420,reaches
2219,14,423,destinations
2232,14,424,farther
2247,14,427,Solar
2253,14,428,System
2263,15,432,Space
2269,15,433,Shuttle
2277,15,434,Endeavour
2287,15,435,began
2293,15,436,service
2311,15,439,Space
2317,15,440,Shuttle
2325,15,441,Challenger
2336,15,442,exploded
2345,15,443,shortly
2359,15,445,lifting
2384,15,451,seven
2390,15,452,astronauts
2401,15,453,aboard
2408,15,454,died
2418,15,457,result
2432,15,460,disaster
2442,16,462,Endeavour
2452,16,463,launched
2468,16,466,maiden
2475,16,467,flight
2494,16,472,May
2504,17,475,During
2515,17,477,career
2523,17,479,Endeavour
2537,17,481,orbited
2549,17,483,planet
2562,17,485,times
2569,17,487,spent
2579,17,489,days
2587,17,491,space
2598,17,494,transported
2612,17,496,total
2625,17,499,astronauts
2641,18,502,vehicle
2653,18,504,traveled
2664,18,506,total
2670,18,507,distance
2679,18,508,longer
2697,18,511,million
2705,18,512,kilometres
2723,18,515,million
2731,18,516,miles
2739,19,519,While
2748,19,521,space
2755,19,523,NASA
2762,19,525,Michael
2770,19,526,Fincke
2777,19,527,set
2783,19,529,space
2789,19,530,endurance
2799,19,531,record
2807,19,533,spending
2820,19,535,longest
2828,19,536,total
2834,19,537,time
2846,19,540,American
2858,19,542,space
2871,19,545,days
2889,20,549,Fincke
2904,20,552,spaceflight
2933,20,557,Space
2939,20,558,Shuttle
2952,21,561,spaceflight
2981,21,566,final
2987,21,567,flight
2997,21,569,Endeavour
3033,21,577,second
3055,21,584,entire
3062,21,585,Space
3068,21,586,Shuttle
3076,21,587,Program
3086,22,590,During
3097,22,592,crew
3104,22,594,stay
3116,22,597,ISS
3125,22,600,crew
3130,22,601,completed
3144,22,603,final
3155,22,605,spacewalks
3166,22,606,scheduled
3182,22,609,performed
3195,22,611,Space
3201,22,612,Shuttle
3209,22,613,crews
3216,23,615,During
3229,23,617,spacewalks
3245,23,620,crew
3250,23,621,installed
3260,23,622,components
3278,23,625,exterior
3294,23,628,station
3303,24,630,Space
3309,24,631,Shuttle
3317,24,632,crews
3323,24,633,performed
3335,24,635,total
3348,24,638,spacewalks
3373,24,643,contributed
3392,24,646,maintenance
3408,24,648,completion
3426,24,651,International
3440,24,652,Space
3446,24,653,Station
3455,25,655,Preparations
3472,25,657,currently
3482,25,658,underway
3495,25,660,Endeavour
3514,25,664,public
3521,25,665,display
3532,25,667,Los
3536,25,668,Angeles
3545,25,670,California
3562,26,674,final
3568,26,675,mission
3583,26,678,Space
3589,26,679,Shuttle
3597,26,680,program
3618,26,685,scheduled
3631,26,687,launch
3641,26,689,July
3651,27,693,picture
3689,29,697,touching
3710,29,701,Kennedy
3718,29,702,Space
3724,29,703,Center
3734,29,705,Wednesday
3757,30,709,shortly
3771,30,711,touchdown
3800,31,716,wheel
3806,31,717,stop
3818,32,721,International
3832,32,722,Space
3838,32,723,Station
3849,32,725,seen
3859,32,727,Endeavour
3880,32,731,departing
3908,32,736,time
3917,32,739,May
3937,33,746,crew
3953,33,749,pose
3964,33,752,picture
3979,33,755,runway
3989,33,757,Kennedy
3997,33,758,Space
4003,33,759,Center
4016,33,761,Space
4022,33,762,Shuttle
4030,33,763,Endeavour
4042,33,765,final
4048,33,766,landing
4067,34,770,crew
4072,34,771,patch
4087,36,775,Shuttle
4095,36,776,Endeavour
4108,36,778,launch
4115,36,779,pad
4123,36,781,prior
4132,36,783,mission
4151,36,786,May
4176,37,793,photo
4193,37,796,crew
4198,37,797,members
