char,sent_n,token_i,word
0,1,0,A
2,1,1,Virginia
12,1,3,USA
16,1,4,jury
21,1,5,found
29,1,7,man
34,1,9,described
66,1,16,spammers
82,1,19,world
89,1,21,guilty
99,1,23,Friday
113,1,26,felony
120,1,27,crime
138,1,31,alias
147,1,33,send
152,1,34,massive
160,1,35,bulk
165,1,36,e
167,1,38,mailings
183,2,42,year
188,2,43,prison
195,2,44,sentence
204,2,45,handed
223,2,49,jury
239,2,53,hold
251,2,56,Loudoun
259,2,57,County
266,2,58,Circuit
274,2,59,Judge
280,2,60,Thomas
287,2,61,Horne
294,2,63,allowing
307,2,65,perpetrator
320,2,67,Jeremy
327,2,68,Jaynes
337,2,70,Raleigh
355,2,75,seek
363,2,77,appeal
372,3,80,Jaynes
393,3,85,alias
400,3,87,Gaven
406,3,88,Stubberfield
439,3,95,peddled
447,3,96,junk
452,3,97,products
465,3,99,pornography
478,4,101,Prosecutors
497,4,104,grossed
522,4,110,month
531,4,112,sending
551,4,116,million
559,4,117,emails
568,4,119,day
581,4,122,high
586,4,124,speed
592,4,125,lines
605,5,129,case
614,5,131,prosecuted
628,5,133,Virginia
655,5,138,home
667,5,141,leading
675,5,142,internet
684,5,143,service
692,5,144,provider
701,5,145,AOL
710,5,148,company
722,5,150,instigated
737,5,152,charges
746,6,154,This
764,6,158,time
771,6,160,conviction
791,6,163,gained
808,6,166,legislation
820,6,167,enacted
839,6,171,curb
844,6,172,bulk
849,6,173,e
851,6,175,mail
857,6,177,aka
861,6,178,spam
872,6,181,unsolicited
884,6,182,distribution
902,6,184,users
908,6,185,mailboxes
921,7,188,Jaynes
928,7,189,remains
936,7,190,free
949,7,195,million
957,7,196,bond
972,7,199,case
980,7,201,appealed
990,8,203,Prosecutors
1002,8,204,differed
1020,8,207,attorneys
1037,8,210,prospects
1050,8,212,Jaynes
1057,8,213,winning
1069,8,215,appeal
1078,9,218,His
1082,9,219,attorney
1092,9,221,David
1098,9,222,Oblon
1118,9,226,denying
1135,9,229,client
1154,9,234,marketing
1165,9,236,business
1175,9,238,argued
1192,9,241,years
1206,9,244,long
1214,9,246,sentence
1233,9,250,state
1239,9,251,resident
1254,9,254,law
1267,9,257,taken
1273,9,258,effect
1289,9,261,weeks
1295,9,262,earlier
1306,10,266,We
1317,10,269,doubt
1336,10,273,win
1343,10,275,appeal
1352,10,278,Oblon
1358,10,279,told
1363,10,280,reporters
1375,11,283,Therefore
1389,11,285,sentence
1401,11,287,somewhat
1410,11,288,moot
1416,12,290,Still
1427,12,293,sentence
1451,12,298,recommended
1473,12,302,disappointed
1489,13,306,Prosecuter
1500,13,307,Lisa
1505,13,308,Hicks
1511,13,310,Thomas
1518,13,311,said
1531,13,314,pleased
1548,13,317,outcome
1560,13,319,confident
1574,13,321,law
1587,13,324,upheld
1597,13,326,appeal
