char,sent_n,token_i,word
0,1,0,Striking
9,1,1,New
13,1,2,York
18,1,3,City
23,1,4,transit
31,1,5,workers
44,1,7,return
60,1,10,jobs
74,1,15,hours
89,1,18,agreement
99,1,19,reached
107,1,20,today
114,2,22,While
123,2,24,final
129,2,25,contract
138,2,26,agreement
157,2,29,reached
166,2,31,transit
174,2,32,work
184,2,34,resume
194,2,36,negotiations
207,2,37,continue
217,3,39,At
225,3,41,pm
228,3,42,EST
237,3,45,TWU
241,3,46,board
247,3,47,voted
256,3,49,end
264,3,51,strike
272,4,53,By
280,4,55,pm
288,4,58,TWU
292,4,59,Local
302,4,61,website
314,4,63,posted
323,4,65,notice
333,4,67,workers
344,4,69,return
354,4,71,work
361,5,74,Mediator
370,5,75,Richard
378,5,76,Curreri
386,5,77,announced
400,5,79,union
410,5,82,taking
417,5,83,steps
427,5,86,immediately
439,5,87,restore
447,5,88,transportation
469,5,91,city
476,6,94,We
484,6,96,requested
498,6,98,leadership
516,6,101,TWU
532,6,105,actions
540,6,106,necessary
553,6,108,direct
564,6,110,membership
578,6,112,immediately
590,6,113,return
600,6,115,work
619,6,119,agreed
639,6,123,actions
653,6,127,Curreri
661,6,128,told
666,6,129,reporters
678,7,132,Thirty
690,7,135,thousand
699,7,136,Transport
709,7,137,Workers
717,7,138,Union
723,7,139,Local
733,7,141,members
741,7,142,walked
756,7,145,job
760,7,146,December
778,7,149,working
786,7,150,months
803,7,153,contract
817,7,155,negotiations
830,7,156,broke
846,7,159,disagreements
860,7,160,concerning
871,7,161,pensions
881,7,163,health
888,7,164,benefits
902,7,167,pay
907,8,169,Agreement
921,8,171,nearly
933,8,173,reached
957,8,179,hours
972,8,182,strike
979,8,183,deadline
993,8,186,Metropolitan
1006,8,187,Transport
1016,8,188,Authority
1028,8,190,chairman
1038,8,192,Peter
1047,8,194,Kalikow
1064,8,198,unexpected
1075,8,199,demand
1083,8,201,requiring
1102,8,204,new
1106,8,205,transit
1114,8,206,workers
1122,8,207,increase
1135,8,209,contribution
1151,8,211,pensions
1169,8,214,present
1179,8,216,percent
1196,8,219,wages
1207,8,222,percent
1222,8,225,upset
1232,8,227,union
1238,8,228,members
1247,9,230,Roger
1253,9,231,Toussaint
1264,9,233,president
1277,9,235,Transport
1287,9,236,Workers
1295,9,237,Union
1301,9,238,Local
1312,9,241,stated
1320,9,243,Were
1340,9,248,pension
1348,9,249,piece
1373,9,255,strike
1386,9,259,summed
1406,9,263,conflict
1421,9,267,fight
1432,9,269,dignity
1444,9,271,respect
1459,9,274,job
1466,9,277,concept
1487,9,281,alien
1500,9,284,MTA
1505,10,286,Transit
1513,10,287,workers
1525,10,289,tired
1540,10,292,underappreciated
1561,10,294,disrespected
1581,12,299,strike
1592,12,301,affected
1604,12,303,estimated
1616,12,305,million
1624,12,306,commuters
1641,12,309,city
1657,12,312,days
1681,12,318,million
1689,12,319,person
1696,12,321,days
1704,12,323,total
1711,13,325,New
1715,13,326,York
1729,13,329,bus
1737,13,331,subway
1744,13,332,workers
1756,13,334,affected
1772,13,337,difficulty
1792,13,340,everyday
1801,13,341,working
1809,13,342,conditions
1824,13,344,health
1831,13,345,standards
1847,13,348,total
1865,13,352,million
1873,13,353,person
1880,13,355,days
1889,13,357,year
