char,sent_n,token_i,word
0,1,0,A
2,1,1,study
8,1,2,published
21,1,4,June
36,1,8,American
45,1,9,Proceedings
64,1,12,National
73,1,13,Academy
84,1,15,Sciences
97,1,17,found
105,1,19,link
122,1,22,consumption
137,1,24,foie
142,1,25,gras
157,1,28,meat
162,1,29,products
177,1,32,number
187,1,34,diseases
197,1,36,including
207,1,37,Alzheimer
219,1,39,disease
228,1,41,rheumatoid
239,1,42,arthritis
250,1,44,diabetes
259,1,45,mellitus
268,1,46,type
276,1,49,tuberculosis
294,1,52,amyloidosis
311,2,55,link
316,2,56,exists
326,2,58,genetically
338,2,59,susceptible
350,2,60,individuals
371,3,64,study
381,3,66,lead
389,3,68,Alan
394,3,69,Solomon
411,3,74,professor
425,3,76,researcher
443,3,79,University
457,3,81,Tennessee
467,3,82,Graduate
476,3,83,School
486,3,85,Medicine
503,3,88,director
519,3,91,Human
525,3,92,Immunology
540,3,94,Cancer
549,3,96,Alzheimer
561,3,98,Disease
573,3,100,Amyloid
581,3,102,Related
589,3,103,Disorders
599,3,104,Research
608,3,105,Program
617,4,107,Amyloidoses
635,4,110,group
644,4,112,disease
652,4,113,states
659,4,114,caused
673,4,117,deposition
687,4,119,vital
693,4,120,organs
703,4,122,proteins
719,4,125,form
727,4,127,fibrils
736,4,129,causing
746,4,131,range
755,4,133,symptoms
772,4,136,swelling
785,4,138,kidney
792,4,139,damage
804,5,142,deposition
818,5,144,amyloid
826,5,145,beta
838,5,148,brain
847,5,150,central
862,5,153,origin
876,5,156,disease
884,5,157,process
895,5,159,Alzheimer
907,5,161,disease
916,6,163,Foie
921,6,164,gras
943,6,169,livers
953,6,171,ducks
962,6,173,geese
983,6,177,force
989,6,179,fed
995,7,182,According
1008,7,184,Solomon
1021,7,188,posit
1055,7,194,forms
1064,7,196,amyloidosis
1083,7,199,transmissible
1098,7,201,akin
1110,7,204,infectious
1121,7,205,nature
1131,7,207,prion
1137,7,209,related
1145,7,210,illnesses
1164,7,214,mad
1168,7,215,cow
1172,7,216,disease
1182,8,219,In
1185,8,220,addition
1197,8,222,foie
1202,8,223,gras
1208,8,225,meat
1213,8,226,derived
1226,8,228,sheep
1236,8,230,seemingly
1246,8,231,healthy
1254,8,232,cattle
1265,8,234,represent
1281,8,236,dietary
1289,8,237,sources
1305,8,241,fibrils
1315,9,244,People
1329,9,247,family
1336,9,248,history
1347,9,250,Alzheimer
1359,9,252,disease
1368,9,254,diabetes
1378,9,256,rheumatoid
1389,9,257,arthritis
1408,9,260,amyloid
1416,9,262,associated
1427,9,263,diseases
1443,9,265,avoid
1449,9,266,consuming
1459,9,267,foie
1464,9,268,gras
1479,9,271,foods
1497,9,275,contaminated
1515,9,277,fibrils
1525,9,280,continued
1535,9,281,Solomon
