char,sent_n,token_i,word
0,1,0,Sumo
5,1,1,fighter
13,1,2,Asashōryū
23,1,3,Akinori
31,1,4,returned
43,1,6,fighting
71,1,11,injured
79,1,12,list
88,1,14,nearly
100,1,16,months
111,1,19,win
119,1,21,New
123,1,22,Year
128,1,23,Grand
134,1,24,Sumo
139,1,25,Tournament
150,1,26,held
158,1,28,Ryōgoku
166,1,29,Kokugikan
176,1,30,stadium
187,1,32,Tokyo
194,1,34,Japan
201,2,36,In
206,2,38,final
212,2,39,bout
225,2,43,kg
228,2,44,Asashōryū
238,2,45,beat
243,2,46,Hakuhō
250,2,47,Shō
262,2,50,earlier
270,2,51,defeated
290,2,55,regulation
301,2,56,rounds
309,3,58,It
323,3,63,matched
331,3,64,playoff
349,3,67,men
353,3,68,entering
366,3,70,final
372,3,71,round
390,3,77,record
400,4,80,After
410,4,82,win
414,4,83,Asashōryū
424,4,84,exclaimed
435,4,86,I
439,4,88,Back
446,5,91,Asashōryū
460,5,93,missed
479,5,96,months
489,5,98,competition
511,5,102,elbow
517,5,103,injury
526,6,106,Asashōryū
542,6,108,real
555,6,111,Dolgorsuren
567,6,112,Dagvadorj
581,6,114,hailing
594,6,116,Ulan
599,6,117,Bator
606,6,119,Mongolia
616,6,121,started
628,6,123,tournament
639,6,124,fourteen
648,6,125,days
653,6,126,earlier
669,6,129,opening
677,6,131,day
681,6,132,win
690,6,134,komusubi
699,6,135,Kisenosato
711,7,137,His
715,7,138,tournament
726,7,139,win
730,7,140,creates
740,7,142,new
744,7,143,record
756,7,145,yokozuna
783,7,149,fourth
790,7,150,man
797,7,152,win
804,7,154,Emperors
813,7,155,Cups
819,8,157,He
838,8,162,win
849,8,164,Kitanoumi
871,8,171,long
876,8,172,way
890,8,175,Chiyonofuji
911,8,180,Taiho
924,9,186,Speaking
943,9,189,earlier
951,9,190,round
957,9,191,loss
965,9,193,Hakuhō
973,9,195,Asashōryū
983,9,196,said
993,9,199,loss
998,9,200,helped
1005,9,201,motivate
1018,10,204,I
1020,10,205,knew
1047,10,210,line
1054,11,213,He
1065,11,216,earlier
1073,11,217,loss
1088,11,221,hesitant
1097,11,222,Tachi
1103,11,224,ai
1112,11,227,initial
1120,11,228,charge
1142,12,233,Expectations
1160,12,236,fourth
1167,12,237,consecutive
1179,12,238,win
1188,12,240,high
1199,12,242,beating
1207,12,243,Asashōryū
1224,12,246,earlier
1232,12,247,bout
1240,13,250,Prior
1253,13,253,final
1259,13,254,bout
1264,13,255,Asashōryū
1274,13,256,practiced
1288,13,258,tachai
1299,13,260,modified
1312,13,262,belt
1317,13,263,grip
1325,13,265,ensure
1342,13,269,fall
1361,13,273,problems
1373,13,275,faced
1386,13,278,earlier
1394,13,279,bout
1404,13,281,Hakuhō
1416,14,284,change
1426,14,286,strategy
1435,14,287,worked
1449,14,290,final
1455,14,291,round
1467,14,294,Asashōryū
1477,14,295,taking
1487,14,297,early
1493,14,298,advantage
1510,14,301,strong
1517,14,302,left
1522,14,303,grip
1530,14,305,Hakuho
1539,14,307,belt
1545,15,309,This
1550,15,310,neutralized
1566,15,312,left
1571,15,313,hand
1579,15,315,Hakuhō
1602,15,320,dominant
1626,15,323,tournament
1638,16,325,Soon
1649,16,327,Asashōryū
1659,16,328,secured
1669,16,330,right
1675,16,332,hand
1680,16,333,grip
1688,16,335,Hakuhō
1703,16,338,belt
1712,16,340,pushed
1732,16,344,bales
1744,16,347,seemingly
1754,16,348,little
1761,16,349,effort
1775,16,352,cheer
1788,16,355,packed
1795,16,356,stadium
1808,17,359,return
1818,17,361,Asashōryū
1839,17,365,huge
1844,17,366,boost
1853,17,368,Sumo
1867,17,371,association
1879,17,372,reveling
1891,17,374,sellout
1899,17,375,crowds
1908,18,378,Asashōryū
1920,18,380,stablemaster
1934,18,382,Takasago
1947,18,384,pleased
1960,18,386,Asashōryū
1970,18,387,returned
1982,18,389,fighting
2000,18,392,pleased
2017,18,395,win
2028,18,398,tournament
2048,18,402,questions
2077,18,407,passion
2088,18,409,continue
2098,19,411,He
2101,19,412,said
2107,19,414,Now
2116,19,417,won
2124,19,420,needs
2140,19,424,good
2145,19,425,look
2170,19,430,sure
2186,19,434,desire
