char,sent_n,token_i,word
0,1,0,A
2,1,1,new
6,1,2,survey
22,1,5,world
30,1,7,greenest
48,1,10,livable
56,1,11,countries
70,1,13,concluded
96,1,18,countries
106,1,19,reviewed
116,1,21,Finland
131,1,24,greenest
142,2,27,Some
165,2,34,order
177,2,37,Finland
186,2,39,Iceland
195,2,41,Norway
203,2,43,Sweden
211,2,45,Austria
220,2,47,Switzerland
233,2,49,Ireland
242,2,51,Australia
253,2,53,Uruguay
262,2,55,Denmark
271,2,57,Canada
279,2,59,Japan
286,2,61,Israel
294,2,63,Italy
301,2,65,Slovenia
311,2,67,France
319,2,69,Netherlands
332,2,71,Portugal
342,2,73,New
346,2,74,Zealand
358,2,76,Greece
370,3,79,poorest
378,3,80,results
386,3,81,went
394,3,83,African
402,3,84,countries
419,3,87,dominated
447,3,92,table
459,3,95,Ethiopia
468,3,96,coming
483,3,99,place
492,4,103,Finland
500,4,104,wins
505,4,105,high
510,4,106,marks
520,4,108,air
528,4,110,water
534,4,111,quality
545,4,114,low
549,4,115,incidence
562,4,117,infant
569,4,118,disease
593,4,123,protects
602,4,124,citizens
616,4,126,water
622,4,127,pollution
636,4,129,natural
644,4,130,disasters
656,4,133,commented
670,4,135,study
677,5,137,Other
683,5,138,factors
691,5,139,taken
702,5,141,account
715,5,143,ranking
727,5,145,countries
737,5,146,included
746,5,147,quality
757,5,149,education
771,5,151,income
778,5,152,level
786,6,155,Some
797,6,157,results
814,6,160,United
821,6,161,Kingdom
842,6,166,United
849,6,167,States
868,6,171,China
886,7,177,study
897,7,179,looked
907,7,181,individual
918,7,182,cities
926,8,184,Of
936,8,187,examined
946,8,189,Stockholm
956,8,190,came
973,8,195,followed
985,8,197,order
994,8,199,Oslo
1000,8,201,Munich
1011,8,203,Paris
1018,9,205,A
1020,9,206,total
1034,9,209,German
1041,9,210,cities
1053,9,212,ranked
1077,9,218,Munich
1085,9,220,Frankfurt
1096,9,222,Stuttgart
1110,9,224,Dusseldorf
1127,9,227,French
1134,9,228,cities
1141,9,229,Lyon
1150,9,231,Nantes
1157,9,232,joined
1164,9,233,Paris
1194,10,241,New
1198,10,242,York
1203,10,243,came
1223,10,248,London
1239,11,252,At
1253,11,255,end
1262,11,257,mainly
1269,11,258,Asian
1275,11,259,cities
1288,11,262,Beijing
1298,11,264,air
1302,11,265,pollution
1312,11,266,problems
1321,11,267,earning
1336,11,270,lowest
1343,11,271,spot
1355,11,274,table
1362,12,276,Guangzhou
1376,12,278,Shanghai
1395,12,281,near
