char,sent_n,token_i,word
9,1,2,swine
15,1,3,flu
19,1,4,virus
33,1,7,spread
46,1,10,different
56,1,11,countries
81,1,14,globe
109,1,20,confirmed
119,1,21,cases
133,1,24,deaths
140,1,25,having
152,1,27,reported
161,1,28,according
178,1,31,latest
185,1,32,World
191,1,33,Health
198,1,34,Organisation
212,1,36,WHO
217,1,38,tally
224,2,40,A
226,2,41,majority
242,2,44,cases
253,2,46,reported
269,2,49,United
276,2,50,States
314,2,58,confirmed
324,2,59,infections
344,2,62,disease
354,3,65,Egypt
361,3,67,Bulgaria
375,3,70,Nicaragua
390,3,72,reported
411,3,75,case
423,3,78,Lebanon
431,3,79,reported
452,4,84,WHO
458,4,86,pandemic
467,4,87,alert
473,4,88,level
489,4,92,fifth
495,4,93,level
507,4,97,scale
528,5,103,In
531,5,104,order
543,5,107,transition
562,5,110,highest
570,5,111,level
592,5,117,organisation
610,5,119,confirm
620,5,121,significant
632,5,122,spread
642,5,124,swine
648,5,125,flu
668,5,130,continents
684,6,133,WHO
692,6,135,recently
712,6,138,pressure
724,6,140,include
736,6,142,severity
750,6,145,disease
758,6,146,spread
772,6,149,criteria
795,6,154,geographical
808,6,155,spread
820,6,158,virus
831,7,161,WHO
835,7,162,said
849,7,165,committee
863,7,167,agreed
877,7,170,statement
894,7,173,strength
909,7,176,epidemic
940,7,182,future
947,7,183,pandemic
956,7,184,declarations
972,8,188,There
984,8,191,broad
990,8,192,consensus
1007,8,195,importance
1021,8,197,including
1031,8,198,information
1046,8,200,severity
1058,8,202,future
1065,8,203,announcements
1085,8,207,WHO
1089,8,208,said
1099,8,211,statement
